horizon_seconds,model,train_decisions,train_rows,train_prevalence,test_decisions,test_rows,within_decision_auc_micro,within_decision_auc_macro,pooled_auc,regret_when_avoidable,decisions,decisions_with_both_classes,prevalence,status,trace,capacity_fraction,seed,decisions_seen,decisions_kept
60,arm,22939,364302,0.13579667418789906,15678,250582,0.5588717258576843,0.5602468719257914,0.54848946560478,0.08196198494705957,15678,0.9310498788110728,0.16079367233081387,ok,conversation_trace,0.0025,0,273343,40000
60,frequency,22939,364302,0.13579667418789906,15678,250582,0.6756404801250779,0.6793356868776904,0.6802340357612077,0.07226687077433346,15678,0.9310498788110728,0.16079367233081387,ok,conversation_trace,0.0025,0,273343,40000
60,gbm,22939,364302,0.13579667418789906,15678,250582,0.6408848471654611,0.6525164451715926,0.6417014348916894,0.06499553514478888,15678,0.9310498788110728,0.16079367233081387,ok,conversation_trace,0.0025,0,273343,40000
60,gbm_plus_context,22939,364302,0.13579667418789906,15678,250582,0.6583700287956302,0.6701300563221891,0.6572476202149342,0.05102691669855849,15678,0.9310498788110728,0.16079367233081387,ok,conversation_trace,0.0025,0,273343,40000
60,linear,22939,364302,0.13579667418789906,15678,250582,0.7154625607330516,0.7223406763541936,0.7204465044624524,0.038333971169792064,15678,0.9310498788110728,0.16079367233081387,ok,conversation_trace,0.0025,0,273343,40000
60,recency,22939,364302,0.13579667418789906,15678,250582,0.35225169953590546,0.350666906450201,0.3494216417097506,0.31528256155121825,15678,0.9310498788110728,0.16079367233081387,ok,conversation_trace,0.0025,0,273343,40000
300,arm,20396,323787,0.4129721082069385,12869,205652,0.567585513824415,0.5675201433812497,0.5598169346426458,0.2648224415261481,12869,0.9993783510762297,0.45238558341275553,ok,conversation_trace,0.0025,0,273343,40000
300,frequency,20396,323787,0.4129721082069385,12869,205652,0.6810725606349088,0.6815342328624977,0.6929131243207381,0.2628797886393659,12869,0.9993783510762297,0.45238558341275553,ok,conversation_trace,0.0025,0,273343,40000
300,gbm,20396,323787,0.4129721082069385,12869,205652,0.6797769768741277,0.6806465942386555,0.6866746239237239,0.19752894552801306,12869,0.9993783510762297,0.45238558341275553,ok,conversation_trace,0.0025,0,273343,40000
300,gbm_plus_context,20396,323787,0.4129721082069385,12869,205652,0.6797471857299096,0.6807740795279187,0.6879283845990576,0.19706270883518534,12869,0.9993783510762297,0.45238558341275553,ok,conversation_trace,0.0025,0,273343,40000
