trace,capacity_fraction,policy,packed_avoided_prefill_tokens,fixed_block_avoided_prefill_tokens,fixed_vs_packed_change_fraction
conversation_trace,0.001,lru,6183936,6183424,-8.279516476237788e-05
conversation_trace,0.001,lru_2hit,6256280,6256280,0.0
conversation_trace,0.001,lfu,7799296,7799296,0.0
conversation_trace,0.001,longest_first,6334976,6334976,0.0
conversation_trace,0.001,frequency_x_prefix_length,7378432,7378432,0.0
conversation_trace,0.001,structural,7693312,7693312,0.0
conversation_trace,0.001,offline_next_use,12811916,12810380,-0.00011988839140063048
conversation_trace,0.0025,lru,6247454,6246942,-8.195338453072243e-05
conversation_trace,0.0025,lru_2hit,6831646,6831646,0.0
conversation_trace,0.0025,lfu,9199104,9197056,-0.0002226303779150665
conversation_trace,0.0025,longest_first,6619136,6618624,-7.735148514851485e-05
conversation_trace,0.0025,frequency_x_prefix_length,8657920,8657920,0.0
conversation_trace,0.0025,structural,9039360,9039360,0.0
conversation_trace,0.0025,offline_next_use,19172153,19162425,-0.0005074025854060314
conversation_trace,0.005,lru,6610198,6586134,-0.0036404355815060304
conversation_trace,0.005,lru_2hit,8104655,8103119,-0.00018952071371329193
conversation_trace,0.005,lfu,11681646,11680622,-8.76588795791278e-05
conversation_trace,0.005,longest_first,6685696,6683136,-0.000382907030173074
conversation_trace,0.005,frequency_x_prefix_length,9392128,9392128,0.0
conversation_trace,0.005,structural,11365888,11365888,0.0
conversation_trace,0.005,offline_next_use,26738119,26731975,-0.0002297843015808255
conversation_trace,0.01,lru,7881073,7839601,-0.005262227617990596
conversation_trace,0.01,lru_2hit,12517933,12514349,-0.0002863092492985863
conversation_trace,0.01,lfu,14637427,14635891,-0.00010493647551581299
conversation_trace,0.01,longest_first,7367680,7362560,-0.0006949270326615705
conversation_trace,0.01,frequency_x_prefix_length,10917888,10917888,0.0
conversation_trace,0.01,structural,14584320,14584320,0.0
conversation_trace,0.01,offline_next_use,36068982,36062326,-0.00018453528852020276
conversation_trace,0.02,lru,11910358,11656548,-0.021310022754983518
conversation_trace,0.02,lru_2hit,21005951,21001343,-0.00021936640716718801
conversation_trace,0.02,lfu,18376244,18374196,-0.00011144823719145218
conversation_trace,0.02,longest_first,8318464,8312320,-0.0007385978949959993
conversation_trace,0.02,frequency_x_prefix_length,13672960,13672960,0.0
conversation_trace,0.02,structural,18397696,18397696,0.0
conversation_trace,0.02,offline_next_use,46015505,46011409,-8.901347491459673e-05
conversation_trace,0.05,lru,28927424,28573596,-0.012231576513691644
conversation_trace,0.05,lru_2hit,29601108,29600084,-3.459329968324159e-05
conversation_trace,0.05,lfu,26509890,26498626,-0.0004248980286225254
conversation_trace,0.05,longest_first,11785110,11762582,-0.0019115646778010557
conversation_trace,0.05,frequency_x_prefix_length,18912946,18878642,-0.0018137840609284243
conversation_trace,0.05,structural,26398492,26398492,0.0
conversation_trace,0.05,offline_next_use,54093414,54093414,0.0
conversation_trace,0.1,lru,41101604,40544548,-0.013553145030544307
conversation_trace,0.1,lru_2hit,31349303,31349303,0.0
conversation_trace,0.1,lfu,35119237,35075717,-0.0012392068768464417
conversation_trace,0.1,longest_first,17229271,17252823,0.0013669760026410868
conversation_trace,0.1,frequency_x_prefix_length,24068567,24099287,0.0012763535111998982
conversation_trace,0.1,structural,35177901,35177901,0.0
conversation_trace,0.1,offline_next_use,54093414,54093414,0.0
toolagent_trace,0.001,lru,47700588,47694444,-0.00012880344368082004
toolagent_trace,0.001,lru_2hit,65633695,65633695,0.0
toolagent_trace,0.001,lfu,72441856,72441856,0.0
toolagent_trace,0.001,longest_first,5873664,5873664,0.0
toolagent_trace,0.001,frequency_x_prefix_length,71857152,71857152,0.0
toolagent_trace,0.001,structural,72356864,72356864,0.0
toolagent_trace,0.001,offline_next_use,76950557,76941817,-0.00011357942477271477
toolagent_trace,0.0025,lru,69198712,69172600,-0.0003773480639350628
toolagent_trace,0.0025,lru_2hit,71615998,71615486,-7.149240592863064e-06
toolagent_trace,0.0025,lfu,73754624,73752064,-3.4709688168161496e-05
toolagent_trace,0.0025,longest_first,6359040,6358528,-8.051529790660226e-05
toolagent_trace,0.0025,frequency_x_prefix_length,73102848,73102848,0.0
toolagent_trace,0.0025,structural,73669632,73669632,0.0
toolagent_trace,0.0025,offline_next_use,83306849,83286333,-0.0002462702676463012
toolagent_trace,0.005,lru,71362371,71297605,-0.0009075651368141902
toolagent_trace,0.005,lru_2hit,72944273,72937617,-9.124773921593543e-05
toolagent_trace,0.005,lfu,76217479,76212871,-6.045857276386694e-05
toolagent_trace,0.005,longest_first,6384640,6380544,-0.0006415396952686447
toolagent_trace,0.005,frequency_x_prefix_length,74168832,74168832,0.0
toolagent_trace,0.005,structural,75996672,75996672,0.0
toolagent_trace,0.005,offline_next_use,90921330,90895730,-0.0002815620932953796
toolagent_trace,0.01,lru,72732660,72610869,-0.0016745022112487017
toolagent_trace,0.01,lru_2hit,77632974,77618634,-0.00018471532470210403
toolagent_trace,0.01,lfu,79201030,79192838,-0.00010343299828297688
toolagent_trace,0.01,longest_first,6692352,6793216,0.015071532399969398
toolagent_trace,0.01,frequency_x_prefix_length,75792896,75792896,0.0
toolagent_trace,0.01,structural,79177728,79177728,0.0
