trace,l1_fraction,l2_multiplier,policy,seed,window,selector,arrival_rejection,decisions,mean_regret_tokens,median_regret_tokens,p90_regret_tokens,max_regret_tokens,zero_regret_rate,regret_ge_512_rate,constant_q_decisions,mean_q_range_tokens,mean_spearman
conversation_trace,0.0025,1,pi0,0,600,count,True,8,17600.0,11008.0,41113.6,45056,0.0,1.0,0,58112.0,0.1420416927423496
conversation_trace,0.0025,1,pi0,0,600,learned,True,8,19648.0,15616.0,34969.6,38912,0.0,1.0,0,58112.0,0.03502438851415844
conversation_trace,0.0025,1,pi0,0,600,lfu,True,8,17920.0,15616.0,34969.6,38912,0.125,0.875,0,58112.0,0.19490237441125396
conversation_trace,0.0025,1,pi0,0,600,lru,True,8,20416.0,11776.0,41113.6,45056,0.0,1.0,0,58112.0,-0.10088705886086283
conversation_trace,0.0025,1,pi0,0,600,next_use,True,8,17600.0,11008.0,41113.6,45056,0.0,1.0,0,58112.0,0.09580802706814837
conversation_trace,0.0025,1,pi0,0,end,count,True,8,23232.0,19968.0,52736.0,67072,0.0,1.0,0,72320.0,-0.011758016113308865
conversation_trace,0.0025,1,pi0,0,end,learned,True,8,45824.0,46080.0,62515.2,65024,0.0,1.0,0,72320.0,0.012021869063250522
conversation_trace,0.0025,1,pi0,0,end,lfu,True,8,42560.0,42240.0,62515.2,65024,0.0,1.0,0,72320.0,0.04973697193793628
conversation_trace,0.0025,1,pi0,0,end,lru,True,8,26496.0,20992.0,53811.2,67072,0.0,1.0,0,72320.0,0.006933250587519962
conversation_trace,0.0025,1,pi0,0,end,next_use,True,8,23232.0,19968.0,52736.0,67072,0.0,1.0,0,72320.0,-0.009061872455958506
conversation_trace,0.0025,1,pi0,1,600,count,True,8,19392.0,20480.0,33945.6,37888,0.125,0.875,0,46144.0,0.2775865869891365
conversation_trace,0.0025,1,pi0,1,600,learned,True,8,10368.0,7680.0,23193.6,23552,0.25,0.75,0,46144.0,0.19836777898275842
conversation_trace,0.0025,1,pi0,1,600,lfu,True,8,14208.0,15616.0,26163.199999999997,32256,0.25,0.75,0,46144.0,0.2918796989345787
conversation_trace,0.0025,1,pi0,1,600,lru,True,8,11904.0,7424.0,26777.6,37888,0.25,0.75,0,46144.0,-0.10322121653589296
conversation_trace,0.0025,1,pi0,1,600,next_use,True,8,19392.0,20480.0,33945.6,37888,0.125,0.875,0,46144.0,0.2266058757855803
conversation_trace,0.0025,1,pi0,1,end,count,True,8,17920.0,12032.0,52172.8,53248,0.375,0.625,0,53696.0,0.30260630262549365
conversation_trace,0.0025,1,pi0,1,end,learned,True,8,4352.0,3328.0,9983.999999999998,15360,0.375,0.625,0,53696.0,0.1612679511640963
conversation_trace,0.0025,1,pi0,1,end,lfu,True,8,11008.0,4864.0,26726.399999999994,53248,0.25,0.75,0,53696.0,0.3035024290410654
conversation_trace,0.0025,1,pi0,1,end,lru,True,8,16512.0,14080.0,33075.2,51712,0.25,0.75,0,53696.0,-0.07161252929682159
conversation_trace,0.0025,1,pi0,1,end,next_use,True,8,17920.0,12032.0,52172.8,53248,0.375,0.625,0,53696.0,0.24610349953221058
conversation_trace,0.0025,1,pi0,2,600,count,True,8,22272.0,20992.0,34867.2,37376,0.0,1.0,0,52224.0,0.1628323178580543
conversation_trace,0.0025,1,pi0,2,600,learned,True,8,13312.0,17408.0,23244.8,26112,0.25,0.75,0,52224.0,-0.007488100385291425
conversation_trace,0.0025,1,pi0,2,600,lfu,True,8,13312.0,17408.0,23244.8,26112,0.25,0.75,0,52224.0,0.1833607671088966
conversation_trace,0.0025,1,pi0,2,600,lru,True,8,24704.0,28160.0,37683.2,38400,0.0,1.0,0,52224.0,-0.1539572810859404
conversation_trace,0.0025,1,pi0,2,600,next_use,True,8,22272.0,20992.0,34867.2,37376,0.0,1.0,0,52224.0,0.1928517308223966
conversation_trace,0.0025,1,pi0,2,end,count,True,8,39680.0,38912.0,62873.6,65024,0.0,1.0,0,70272.0,0.16503131029605533
conversation_trace,0.0025,1,pi0,2,end,learned,True,8,15488.0,19200.0,26368.0,31744,0.25,0.75,0,70272.0,0.030730190581677298
conversation_trace,0.0025,1,pi0,2,end,lfu,True,8,15488.0,19200.0,26368.0,31744,0.25,0.75,0,70272.0,0.2832737648688821
conversation_trace,0.0025,1,pi0,2,end,lru,True,8,44224.0,50432.0,66099.2,68608,0.0,1.0,0,70272.0,-0.25204703031363146
conversation_trace,0.0025,1,pi0,2,end,next_use,True,8,39680.0,38912.0,62873.6,65024,0.0,1.0,0,70272.0,0.17608901903588653
conversation_trace,0.0025,1,pi0,3,600,count,True,8,32576.0,33024.0,47923.2,55808,0.0,1.0,0,52736.0,0.25528618416684046
conversation_trace,0.0025,1,pi0,3,600,learned,True,8,12224.0,11776.0,24627.2,27136,0.375,0.625,0,52736.0,0.10029726414398354
conversation_trace,0.0025,1,pi0,3,600,lfu,True,8,13760.0,16384.0,24627.2,27136,0.25,0.75,0,52736.0,0.11008463063234968
conversation_trace,0.0025,1,pi0,3,600,lru,True,8,28736.0,27648.0,46489.6,55808,0.0,1.0,0,52736.0,-0.04638281508365339
conversation_trace,0.0025,1,pi0,3,600,next_use,True,8,32576.0,33024.0,47923.2,55808,0.0,1.0,0,52736.0,0.22351242632606214
conversation_trace,0.0025,1,pi0,3,end,count,True,8,43264.0,46336.0,57856.0,57856,0.0,1.0,0,73664.0,0.2226160077742773
conversation_trace,0.0025,1,pi0,3,end,learned,True,8,5952.0,0.0,17254.399999999998,24064,0.625,0.375,0,73664.0,0.06383125582868376
conversation_trace,0.0025,1,pi0,3,end,lfu,True,8,13696.0,11776.0,28211.199999999997,37888,0.375,0.625,0,73664.0,0.15447866877961233
