trace,l1_fraction,l2_multiplier,policy,seed,replicate,window,selector,decisions,mean_regret_tokens,median_regret_tokens,p90_regret_tokens,max_regret_tokens,zero_regret_rate,regret_ge_512_rate,constant_q_decisions,mean_q_range_tokens,mean_spearman
conversation_trace,0.0025,1,pi0,0,0,600,count,8,17600.0,11008.0,41113.6,45056,0.0,1.0,0,58112.0,0.1420416927423496
conversation_trace,0.0025,1,pi0,0,0,600,learned,8,19648.0,15616.0,34969.6,38912,0.0,1.0,0,58112.0,0.03502438851415844
conversation_trace,0.0025,1,pi0,0,0,600,lfu,8,17920.0,15616.0,34969.6,38912,0.125,0.875,0,58112.0,0.19490237441125396
conversation_trace,0.0025,1,pi0,0,0,600,lru,8,20416.0,11776.0,41113.6,45056,0.0,1.0,0,58112.0,-0.10088705886086283
conversation_trace,0.0025,1,pi0,0,0,600,next_use,8,17600.0,11008.0,41113.6,45056,0.0,1.0,0,58112.0,0.09580802706814837
conversation_trace,0.0025,1,pi0,0,0,end,count,8,23232.0,19968.0,52736.0,67072,0.0,1.0,0,72320.0,-0.011758016113308865
conversation_trace,0.0025,1,pi0,0,0,end,learned,8,45824.0,46080.0,62515.2,65024,0.0,1.0,0,72320.0,0.012021869063250522
conversation_trace,0.0025,1,pi0,0,0,end,lfu,8,42560.0,42240.0,62515.2,65024,0.0,1.0,0,72320.0,0.04973697193793628
conversation_trace,0.0025,1,pi0,0,0,end,lru,8,26496.0,20992.0,53811.2,67072,0.0,1.0,0,72320.0,0.006933250587519962
conversation_trace,0.0025,1,pi0,0,0,end,next_use,8,23232.0,19968.0,52736.0,67072,0.0,1.0,0,72320.0,-0.009061872455958506
conversation_trace,0.0025,1,pi0,0,1,600,count,2,12544.0,12544.0,17254.4,18432,0.0,1.0,0,64512.0,0.21627621914342127
conversation_trace,0.0025,1,pi0,0,1,600,learned,2,49664.0,49664.0,66867.20000000001,71168,0.0,1.0,0,64512.0,0.06689131150976235
conversation_trace,0.0025,1,pi0,0,1,600,lfu,2,49664.0,49664.0,66867.20000000001,71168,0.0,1.0,0,64512.0,0.055536485400498464
conversation_trace,0.0025,1,pi0,0,1,600,lru,2,12544.0,12544.0,17254.4,18432,0.0,1.0,0,64512.0,0.2622704107229238
conversation_trace,0.0025,1,pi0,0,1,600,next_use,2,12544.0,12544.0,17254.4,18432,0.0,1.0,0,64512.0,0.1086742283497018
conversation_trace,0.0025,1,pi0,0,1,end,count,2,34304.0,34304.0,40857.6,42496,0.0,1.0,0,79360.0,0.19305895945177282
conversation_trace,0.0025,1,pi0,0,1,end,learned,2,56064.0,56064.0,75520.0,80384,0.0,1.0,0,79360.0,0.0501102184811478
conversation_trace,0.0025,1,pi0,0,1,end,lfu,2,56064.0,56064.0,75520.0,80384,0.0,1.0,0,79360.0,0.2872872470818958
conversation_trace,0.0025,1,pi0,0,1,end,lru,2,34304.0,34304.0,40857.6,42496,0.0,1.0,0,79360.0,-0.06001576356754844
conversation_trace,0.0025,1,pi0,0,1,end,next_use,2,34304.0,34304.0,40857.6,42496,0.0,1.0,0,79360.0,0.16069807305062528
conversation_trace,0.0025,1,pi0,0,2,600,count,2,13056.0,13056.0,22681.600000000002,25088,0.0,1.0,0,58112.0,0.16523193453793156
conversation_trace,0.0025,1,pi0,0,2,600,learned,2,34048.0,34048.0,59648.0,66048,0.0,1.0,0,58112.0,-0.09796488743564108
conversation_trace,0.0025,1,pi0,0,2,600,lfu,2,34048.0,34048.0,59648.0,66048,0.0,1.0,0,58112.0,-0.12085886081723668
conversation_trace,0.0025,1,pi0,0,2,600,lru,2,13056.0,13056.0,22681.600000000002,25088,0.0,1.0,0,58112.0,0.12415940698166737
