lineage,selection_hash,window,selector,captured_regret_tokens,three_stream_mean_regret_tokens,three_stream_mean_paired_diff_vs_learned_tokens
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",000016b23b37858b6d85792f9adcf78bf9df6bc52c7e3dcfa3080cec36642f10,600,count,11264,10240.0,-19626.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",000016b23b37858b6d85792f9adcf78bf9df6bc52c7e3dcfa3080cec36642f10,600,learned,16384,29866.666666666668,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",000016b23b37858b6d85792f9adcf78bf9df6bc52c7e3dcfa3080cec36642f10,600,lfu,16384,29866.666666666668,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",000016b23b37858b6d85792f9adcf78bf9df6bc52c7e3dcfa3080cec36642f10,600,lru,11264,10240.0,-19626.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",000016b23b37858b6d85792f9adcf78bf9df6bc52c7e3dcfa3080cec36642f10,600,next_use,11264,10240.0,-19626.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",000016b23b37858b6d85792f9adcf78bf9df6bc52c7e3dcfa3080cec36642f10,end,count,2048,11093.333333333334,-28160.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",000016b23b37858b6d85792f9adcf78bf9df6bc52c7e3dcfa3080cec36642f10,end,learned,26112,39253.333333333336,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",000016b23b37858b6d85792f9adcf78bf9df6bc52c7e3dcfa3080cec36642f10,end,lfu,26112,39253.333333333336,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",000016b23b37858b6d85792f9adcf78bf9df6bc52c7e3dcfa3080cec36642f10,end,lru,2048,11093.333333333334,-28160.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",000016b23b37858b6d85792f9adcf78bf9df6bc52c7e3dcfa3080cec36642f10,end,next_use,2048,11093.333333333334,-28160.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",00004b3a279b457d1d2f9a20b47c22dd94264ccc4962ecc9fcd9f0957d44a2bb,600,count,7680,13141.333333333334,-23210.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",00004b3a279b457d1d2f9a20b47c22dd94264ccc4962ecc9fcd9f0957d44a2bb,600,learned,14848,36352.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",00004b3a279b457d1d2f9a20b47c22dd94264ccc4962ecc9fcd9f0957d44a2bb,600,lfu,14848,36352.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",00004b3a279b457d1d2f9a20b47c22dd94264ccc4962ecc9fcd9f0957d44a2bb,600,lru,7680,13141.333333333334,-23210.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",00004b3a279b457d1d2f9a20b47c22dd94264ccc4962ecc9fcd9f0957d44a2bb,600,next_use,7680,13141.333333333334,-23210.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",00004b3a279b457d1d2f9a20b47c22dd94264ccc4962ecc9fcd9f0957d44a2bb,end,count,2048,30549.333333333332,-23722.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",00004b3a279b457d1d2f9a20b47c22dd94264ccc4962ecc9fcd9f0957d44a2bb,end,learned,32256,54272.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",00004b3a279b457d1d2f9a20b47c22dd94264ccc4962ecc9fcd9f0957d44a2bb,end,lfu,32256,54272.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",00004b3a279b457d1d2f9a20b47c22dd94264ccc4962ecc9fcd9f0957d44a2bb,end,lru,2048,30549.333333333332,-23722.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=0",00004b3a279b457d1d2f9a20b47c22dd94264ccc4962ecc9fcd9f0957d44a2bb,end,next_use,2048,30549.333333333332,-23722.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00016c11fc61c5f426efd64c3880030827d0d8f07668f7785565f8a4bf27921e,600,count,18944,13312.0,-23040.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00016c11fc61c5f426efd64c3880030827d0d8f07668f7785565f8a4bf27921e,600,learned,23552,36352.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00016c11fc61c5f426efd64c3880030827d0d8f07668f7785565f8a4bf27921e,600,lfu,23552,36352.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00016c11fc61c5f426efd64c3880030827d0d8f07668f7785565f8a4bf27921e,600,lru,18944,13312.0,-23040.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00016c11fc61c5f426efd64c3880030827d0d8f07668f7785565f8a4bf27921e,600,next_use,18944,13312.0,-23040.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00016c11fc61c5f426efd64c3880030827d0d8f07668f7785565f8a4bf27921e,end,count,0,24405.333333333332,-9728.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00016c11fc61c5f426efd64c3880030827d0d8f07668f7785565f8a4bf27921e,end,learned,7680,34133.333333333336,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00016c11fc61c5f426efd64c3880030827d0d8f07668f7785565f8a4bf27921e,end,lfu,7680,34133.333333333336,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00016c11fc61c5f426efd64c3880030827d0d8f07668f7785565f8a4bf27921e,end,lru,0,24405.333333333332,-9728.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00016c11fc61c5f426efd64c3880030827d0d8f07668f7785565f8a4bf27921e,end,next_use,0,24405.333333333332,-9728.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00025eca773d7a7057908fc334192816928430d2c81f41d7852011728c4036bb,600,count,0,34304.0,13653.333333333334
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00025eca773d7a7057908fc334192816928430d2c81f41d7852011728c4036bb,600,learned,0,20650.666666666668,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00025eca773d7a7057908fc334192816928430d2c81f41d7852011728c4036bb,600,lfu,0,20650.666666666668,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00025eca773d7a7057908fc334192816928430d2c81f41d7852011728c4036bb,600,lru,0,34304.0,13653.333333333334
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00025eca773d7a7057908fc334192816928430d2c81f41d7852011728c4036bb,600,next_use,0,34304.0,13653.333333333334
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00025eca773d7a7057908fc334192816928430d2c81f41d7852011728c4036bb,end,count,0,31232.0,6314.666666666667
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00025eca773d7a7057908fc334192816928430d2c81f41d7852011728c4036bb,end,learned,0,24917.333333333332,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00025eca773d7a7057908fc334192816928430d2c81f41d7852011728c4036bb,end,lfu,0,24917.333333333332,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00025eca773d7a7057908fc334192816928430d2c81f41d7852011728c4036bb,end,lru,0,31232.0,6314.666666666667
"conversation_trace|l1=0.0025,l2x1|pi0|s=1",00025eca773d7a7057908fc334192816928430d2c81f41d7852011728c4036bb,end,next_use,0,31232.0,6314.666666666667
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,600,count,18944,32597.333333333332,25258.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,600,learned,18432,7338.666666666667,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,600,lfu,18432,7338.666666666667,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,600,lru,38400,21845.333333333332,14506.666666666666
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,600,next_use,18944,32597.333333333332,25258.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,end,count,32256,37717.333333333336,20650.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,end,learned,31744,17066.666666666668,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,end,lfu,31744,17066.666666666668,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,end,lru,68608,33792.0,16725.333333333332
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0000b197c8362199b16c72307df7a75234c09875013c91795f20b6490d91673b,end,next_use,32256,37717.333333333336,20650.666666666668
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0001c2c6c6a0ce9307c6ba8a2cc7ae8e64a06d437d5ee3e293009acbc2e457f8,600,count,7680,21674.666666666668,1706.6666666666667
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0001c2c6c6a0ce9307c6ba8a2cc7ae8e64a06d437d5ee3e293009acbc2e457f8,600,learned,22016,19968.0,0.0
"conversation_trace|l1=0.0025,l2x1|pi0|s=2",0001c2c6c6a0ce9307c6ba8a2cc7ae8e64a06d437d5ee3e293009acbc2e457f8,600,lfu,22016,19968.0,0.0
