trace,l1_fraction,l2_multiplier,policy,window,selector,lineage_seeds,decisions,mean_of_seed_mean_regret_tokens,mean_of_seed_zero_regret_rate,mean_of_seed_regret_ge_512_rate
conversation_trace,0.0025,1,pi0,600,count,5,40,23155.2,0.05,0.95
conversation_trace,0.0025,1,pi0,600,learned,5,40,13388.8,0.175,0.825
conversation_trace,0.0025,1,pi0,600,lfu,5,40,14233.6,0.175,0.825
conversation_trace,0.0025,1,pi0,600,lru,5,40,22156.8,0.075,0.925
conversation_trace,0.0025,1,pi0,600,next_use,5,40,23155.2,0.05,0.95
conversation_trace,0.0025,1,pi0,end,count,5,40,30297.6,0.1,0.9
conversation_trace,0.0025,1,pi0,end,learned,5,40,17177.6,0.25,0.75
conversation_trace,0.0025,1,pi0,end,lfu,5,40,19763.2,0.175,0.825
conversation_trace,0.0025,1,pi0,end,lru,5,40,31257.6,0.075,0.925
conversation_trace,0.0025,1,pi0,end,next_use,5,40,30297.6,0.1,0.9
conversation_trace,0.0025,1,pi3,600,count,5,40,13030.4,0.075,0.925
conversation_trace,0.0025,1,pi3,600,learned,5,40,22639.625,0.125,0.875
conversation_trace,0.0025,1,pi3,600,lfu,5,40,21075.05,0.125,0.875
conversation_trace,0.0025,1,pi3,600,lru,5,40,13644.8,0.075,0.925
conversation_trace,0.0025,1,pi3,600,next_use,5,40,13030.4,0.075,0.925
conversation_trace,0.0025,1,pi3,end,count,5,40,16897.975,0.125,0.875
conversation_trace,0.0025,1,pi3,end,learned,5,40,29178.525,0.1,0.9
conversation_trace,0.0025,1,pi3,end,lfu,5,40,25258.75,0.175,0.825
conversation_trace,0.0025,1,pi3,end,lru,5,40,17129.675,0.15,0.85
conversation_trace,0.0025,1,pi3,end,next_use,5,40,16897.975,0.125,0.875
conversation_trace,0.02,4,pi0,600,count,5,40,51371.5,0.05,0.95
conversation_trace,0.02,4,pi0,600,learned,5,40,56175.75,0.05,0.95
conversation_trace,0.02,4,pi0,600,lfu,5,40,53405.675,0.05,0.95
conversation_trace,0.02,4,pi0,600,lru,5,40,49219.175,0.05,0.95
conversation_trace,0.02,4,pi0,600,next_use,5,40,51371.5,0.05,0.95
conversation_trace,0.02,4,pi0,end,count,5,40,81905.625,0.075,0.925
conversation_trace,0.02,4,pi0,end,learned,5,40,74243.35,0.075,0.925
conversation_trace,0.02,4,pi0,end,lfu,5,40,76645.35,0.075,0.925
conversation_trace,0.02,4,pi0,end,lru,5,40,76442.825,0.075,0.925
conversation_trace,0.02,4,pi0,end,next_use,5,40,81905.625,0.075,0.925
conversation_trace,0.02,4,pi3,600,count,5,40,48045.125,0.0,1.0
conversation_trace,0.02,4,pi3,600,learned,5,40,42782.8,0.25,0.75
conversation_trace,0.02,4,pi3,600,lfu,5,40,50163.825,0.125,0.875
conversation_trace,0.02,4,pi3,600,lru,5,40,53640.4,0.0,1.0
conversation_trace,0.02,4,pi3,600,next_use,5,40,48045.125,0.0,1.0
conversation_trace,0.02,4,pi3,end,count,5,40,70118.1,0.05,0.95
conversation_trace,0.02,4,pi3,end,learned,5,40,74542.45,0.125,0.875
conversation_trace,0.02,4,pi3,end,lfu,5,40,80133.8,0.05,0.95
conversation_trace,0.02,4,pi3,end,lru,5,40,75539.8,0.025,0.975
conversation_trace,0.02,4,pi3,end,next_use,5,40,70118.1,0.05,0.95
toolagent_trace,0.0025,1,pi0,600,count,5,40,23096.675,0.125,0.875
toolagent_trace,0.0025,1,pi0,600,learned,5,40,24223.425,0.05,0.95
toolagent_trace,0.0025,1,pi0,600,lfu,5,40,23439.35,0.075,0.925
toolagent_trace,0.0025,1,pi0,600,lru,5,40,23250.275,0.125,0.875
toolagent_trace,0.0025,1,pi0,600,next_use,5,40,23096.675,0.125,0.875
toolagent_trace,0.0025,1,pi0,end,count,5,40,29759.575,0.1,0.9
toolagent_trace,0.0025,1,pi0,end,learned,5,40,32352.875,0.025,0.975
toolagent_trace,0.0025,1,pi0,end,lfu,5,40,31437.525,0.025,0.975
toolagent_trace,0.0025,1,pi0,end,lru,5,40,30487.075,0.1,0.875
toolagent_trace,0.0025,1,pi0,end,next_use,5,40,29759.575,0.1,0.9
toolagent_trace,0.0025,1,pi3,600,count,5,40,14812.1,0.1,0.9
toolagent_trace,0.0025,1,pi3,600,learned,5,40,11381.925,0.25,0.725
toolagent_trace,0.0025,1,pi3,600,lfu,5,40,12565.65,0.2,0.775
toolagent_trace,0.0025,1,pi3,600,lru,5,40,15138.65,0.1,0.9
toolagent_trace,0.0025,1,pi3,600,next_use,5,40,14812.1,0.1,0.9
toolagent_trace,0.0025,1,pi3,end,count,5,40,17983.075,0.075,0.925
toolagent_trace,0.0025,1,pi3,end,learned,5,40,14964.075,0.325,0.675
toolagent_trace,0.0025,1,pi3,end,lfu,5,40,17302.15,0.175,0.825
toolagent_trace,0.0025,1,pi3,end,lru,5,40,17859.65,0.075,0.925
toolagent_trace,0.0025,1,pi3,end,next_use,5,40,17983.075,0.075,0.925
toolagent_trace,0.02,4,pi0,600,count,5,40,40477.1,0.125,0.875
toolagent_trace,0.02,4,pi0,600,learned,5,40,45986.3,0.05,0.95
toolagent_trace,0.02,4,pi0,600,lfu,5,40,48253.15,0.05,0.95
toolagent_trace,0.02,4,pi0,600,lru,5,40,46308.675,0.125,0.875
toolagent_trace,0.02,4,pi0,600,next_use,5,40,40477.1,0.125,0.875
toolagent_trace,0.02,4,pi0,end,count,5,40,54337.0,0.2,0.8
toolagent_trace,0.02,4,pi0,end,learned,5,40,59048.45,0.025,0.975
toolagent_trace,0.02,4,pi0,end,lfu,5,40,70066.725,0.0,1.0
toolagent_trace,0.02,4,pi0,end,lru,5,40,60246.45,0.175,0.825
toolagent_trace,0.02,4,pi0,end,next_use,5,40,54337.0,0.2,0.8
toolagent_trace,0.02,4,pi3,600,count,5,40,43801.025,0.0,1.0
toolagent_trace,0.02,4,pi3,600,learned,5,40,44854.075,0.1,0.9
toolagent_trace,0.02,4,pi3,600,lfu,5,40,49683.875,0.05,0.95
toolagent_trace,0.02,4,pi3,600,lru,5,40,47063.475,0.025,0.975
toolagent_trace,0.02,4,pi3,600,next_use,5,40,43801.025,0.0,1.0
toolagent_trace,0.02,4,pi3,end,count,5,40,58165.45,0.025,0.975
toolagent_trace,0.02,4,pi3,end,learned,5,40,48527.475,0.1,0.9
toolagent_trace,0.02,4,pi3,end,lfu,5,40,61436.75,0.05,0.95
toolagent_trace,0.02,4,pi3,end,lru,5,40,58818.35,0.025,0.975
toolagent_trace,0.02,4,pi3,end,next_use,5,40,58165.45,0.025,0.975
