trace,l1_fraction,l2_multiplier,cell,arm,kind,arm_target,label_target,own_target,metric,seed,horizon_seconds,l2_decisions,decisions_offered,decisions_in_window,decisions_kept,rows,prevalence,within_decision_micro,within_decision_macro,decisions_scored,decisions_constant_label,decisions_constant_label_share,evicted_lowest_label_rate,evicted_positive_rate_when_avoidable,victim_matches_argmin_rate
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_none,learned,binary,binary,True,auc,0,600.0,268810,268810.0,61296.0,40000.0,679478.0,0.650328634628347,0.5735767512153429,0.5748252076823908,39969.0,31.0,0.000775,0.694425,0.3058120043033351,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_none,learned,binary,count,False,spearman,0,600.0,268810,268810.0,61296.0,40000.0,679478.0,0.6501299526989837,nan,0.14455312495756056,40000.0,0.0,0.0,0.694075,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_none,learned,binary,next_use,False,spearman,0,600.0,268810,268810.0,61296.0,40000.0,679478.0,0.6501049334930638,nan,0.10902921977328071,40000.0,0.0,0.0,0.69425,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_none,learned,count,binary,False,auc,0,600.0,268504,268504.0,61606.0,40000.0,679500.0,0.7150831493745401,0.4912485278515436,0.4937101097011128,39805.0,195.0,0.004875,0.694925,0.30656952644140184,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_none,learned,count,count,True,spearman,0,600.0,268504,268504.0,61606.0,40000.0,679500.0,0.7129477557027226,nan,0.03319290965126312,40000.0,0.0,0.0,0.692525,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_none,learned,count,next_use,False,spearman,0,600.0,268504,268504.0,61606.0,40000.0,679500.0,0.7135570272259014,nan,0.02393111529966105,40000.0,0.0,0.0,0.69115,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_none,learned,next_use,binary,False,auc,0,600.0,267872,267872.0,61246.0,40000.0,679483.0,0.6478293055161056,0.49726397784771453,0.4981431829662551,39928.0,72.0,0.0018,0.696275,0.3042726908435183,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_none,learned,next_use,count,False,spearman,0,600.0,267872,267872.0,61246.0,40000.0,679483.0,0.6472818304505042,nan,0.08627743739500723,40000.0,0.0,0.0,0.695625,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_none,learned,next_use,next_use,True,spearman,0,600.0,267872,267872.0,61246.0,40000.0,679483.0,0.6473392270299625,nan,0.05233041503744082,40000.0,0.0,0.0,0.695025,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_pd,learned,binary,binary,True,auc,0,600.0,272093,272093.0,62068.0,40000.0,679514.0,0.6070529819841828,0.6115507952169751,0.6164897716880212,39874.0,126.0,0.00315,0.687725,0.31326177458995835,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_pd,learned,binary,count,False,spearman,0,600.0,272093,272093.0,62068.0,40000.0,679514.0,0.6057285059616138,nan,0.21501226827289452,40000.0,0.0,0.0,0.68655,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_pd,learned,binary,next_use,False,spearman,0,600.0,272093,272093.0,62068.0,40000.0,679514.0,0.6061479233687607,nan,0.17841956071069098,40000.0,0.0,0.0,0.685425,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_pd,learned,count,binary,False,auc,0,600.0,269252,269252.0,61664.0,40000.0,679399.0,0.7222501063439893,0.6939955179255702,0.708404475547562,38945.0,1055.0,0.026375,0.7156,0.29209674934524726,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_pd,learned,count,count,True,spearman,0,600.0,269252,269252.0,61664.0,40000.0,679399.0,0.7143283990703548,nan,0.35325150600761535,39999.0,1.0,2.5e-05,0.7034,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_pd,learned,count,next_use,False,spearman,0,600.0,269252,269252.0,61664.0,40000.0,679399.0,0.7172368519824138,nan,0.26017561827159036,39999.0,1.0,2.5e-05,0.6943,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_pd,learned,next_use,binary,False,auc,0,600.0,269126,269126.0,61524.0,40000.0,679459.0,0.7265574523260417,0.6813510689990282,0.6913946919969179,39354.0,646.0,0.01615,0.707525,0.29727600752147176,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_pd,learned,next_use,count,False,spearman,0,600.0,269126,269126.0,61524.0,40000.0,679459.0,0.7216461920439644,nan,0.29207625590064545,40000.0,0.0,0.0,0.6995,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",A_pd,learned,next_use,next_use,True,spearman,0,600.0,269126,269126.0,61524.0,40000.0,679459.0,0.7236610303197102,nan,0.23952412707103668,40000.0,0.0,0.0,0.694425,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",B,learned,binary,binary,True,auc,0,600.0,269028,269028.0,61582.0,40000.0,679493.0,0.5292122214651218,0.3950017197926709,0.39526174996346947,39998.0,2.0,5e-05,0.688975,0.3110327758193955,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",B,learned,binary,count,False,spearman,0,600.0,269028,269028.0,61582.0,40000.0,679493.0,0.529206334723095,nan,-0.13110367845781917,39999.0,1.0,2.5e-05,0.68895,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",B,learned,binary,next_use,False,spearman,0,600.0,269028,269028.0,61582.0,40000.0,679493.0,0.5290429776318519,nan,-0.14354562753479141,39999.0,1.0,2.5e-05,0.68945,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",B,learned,count,binary,False,auc,0,600.0,268672,268672.0,61603.0,40000.0,679483.0,0.5978236394435181,0.42472763673840785,0.42459944276360784,39991.0,9.0,0.000225,0.687225,0.3128453902127979,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",B,learned,count,count,True,spearman,0,600.0,268672,268672.0,61603.0,40000.0,679483.0,0.5977044311631049,nan,-0.044811457025381786,40000.0,0.0,0.0,0.68715,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",B,learned,count,next_use,False,spearman,0,600.0,268672,268672.0,61603.0,40000.0,679483.0,0.5976440911693155,nan,-0.06480942077446862,40000.0,0.0,0.0,0.68755,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",B,learned,next_use,binary,False,auc,0,600.0,268783,268783.0,61619.0,40000.0,679508.0,0.6451564955820976,0.4689808245768054,0.47091411860133536,39937.0,63.0,0.001575,0.6893,0.31119012444600247,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",B,learned,next_use,count,False,spearman,0,600.0,268783,268783.0,61619.0,40000.0,679508.0,0.6446163989239273,nan,0.057730748610768635,40000.0,0.0,0.0,0.688625,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",B,learned,next_use,next_use,True,spearman,0,600.0,268783,268783.0,61619.0,40000.0,679508.0,0.644738546124549,nan,0.008932070731037613,40000.0,0.0,0.0,0.688475,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",C_lfu,learned,binary,binary,True,auc,0,600.0,270142,270142.0,62385.0,40000.0,679540.0,0.3931571357094505,0.2419668648841712,0.24119054607605214,39953.0,47.0,0.001175,0.68005,0.31995,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",C_lfu,learned,binary,count,False,spearman,0,600.0,270142,270142.0,62385.0,40000.0,679540.0,0.3931571357094505,nan,-0.41093119245278803,39953.0,47.0,0.001175,0.68005,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",C_lfu,learned,binary,next_use,False,spearman,0,600.0,270142,270142.0,62385.0,40000.0,679540.0,0.3930438237631339,nan,-0.4238640040659367,39953.0,47.0,0.001175,0.6806,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",C_lfu,learned,count,binary,False,auc,0,600.0,269201,269201.0,62150.0,40000.0,679573.0,0.3644980009505969,0.30536899130721346,0.3025155421595321,39962.0,38.0,0.00095,0.68325,0.31675,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",C_lfu,learned,count,count,True,spearman,0,600.0,269201,269201.0,62150.0,40000.0,679573.0,0.3644980009505969,nan,-0.2938327856508758,39962.0,38.0,0.00095,0.68325,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",C_lfu,learned,count,next_use,False,spearman,0,600.0,269201,269201.0,62150.0,40000.0,679573.0,0.3644391404602596,nan,-0.31496151886769186,39962.0,38.0,0.00095,0.683775,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",C_lfu,learned,next_use,binary,False,auc,0,600.0,268902,268902.0,61957.0,40000.0,679584.0,0.4366524226585676,0.3395650331366749,0.33978945613809347,39976.0,24.0,0.0006,0.681575,0.318425,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",C_lfu,learned,next_use,count,False,spearman,0,600.0,268902,268902.0,61957.0,40000.0,679584.0,0.4366524226585676,nan,-0.2389235107057508,39976.0,24.0,0.0006,0.681575,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",C_lfu,learned,next_use,next_use,True,spearman,0,600.0,268902,268902.0,61957.0,40000.0,679584.0,0.4365096882798889,nan,-0.24374999452290141,39976.0,24.0,0.0006,0.6822,nan,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",C_lru,learned,binary,binary,True,auc,0,600.0,269089,269089.0,61550.0,40000.0,679488.0,0.4919351040783649,0.41364842794864826,0.41375009623189307,40000.0,0.0,0.0,0.690575,0.309425,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",C_lru,learned,binary,count,False,spearman,0,600.0,269089,269089.0,61550.0,40000.0,679488.0,0.4919351040783649,nan,-0.10967390051612735,40000.0,0.0,0.0,0.690575,nan,1.0
