trace,size_model,capacity_fraction,longest_first_avoided_prefill_tokens,lru_avoided_prefill_tokens,longest_minus_lru_fraction,lru_2hit_avoided_prefill_tokens,longest_minus_lru_2hit_fraction,lfu_avoided_prefill_tokens,longest_minus_lfu_fraction,frequency_x_prefix_length_avoided_prefill_tokens,longest_minus_frequency_x_prefix_length_fraction,structural_avoided_prefill_tokens,longest_minus_structural_fraction
conversation_trace,fixed_block,0.001,6334976,6183424,0.024509398029311916,6256280,0.012578720901238436,7799296,-0.18775027899954047,7378432,-0.1414197488029977,7693312,-0.1765606282443764
conversation_trace,fixed_block,0.0025,6618624,6246942,0.05949823129460782,6831646,-0.031181650805676992,9197056,-0.28035406112564715,8657920,-0.2355410999408634,9039360,-0.26779949022939675
conversation_trace,fixed_block,0.005,6683136,6586134,0.014728215368833978,8103119,-0.17523906535248956,11680622,-0.42784416788763474,9392128,-0.28843218491059747,11365888,-0.4120005405648903
conversation_trace,fixed_block,0.01,7362560,7839601,-0.0608501631651917,12514349,-0.41167055513634787,14635891,-0.4969517059125406,10917888,-0.32564246858000373,14584320,-0.4951728980164999
conversation_trace,fixed_block,0.02,8312320,11656548,-0.28689694410386335,21001343,-0.6042005504124188,18374196,-0.5476090491251971,13672960,-0.39206141172065156,18397696,-0.5481869034035566
conversation_trace,fixed_block,0.05,11762582,28573596,-0.5883408584624771,29600084,-0.6026166006826197,26498626,-0.5561059656451621,18878642,-0.376937069943908,26398492,-0.5544221995710967
conversation_trace,fixed_block,0.1,17252823,40544548,-0.5744724296840108,31349303,-0.4496584820402546,35075717,-0.5081262914739562,24099287,-0.28409404809362204,35177901,-0.509555075500383
conversation_trace,packed,0.001,6334976,6183936,0.024424573604901474,6256280,0.012578720901238436,7799296,-0.18775027899954047,7378432,-0.1414197488029977,7693312,-0.1765606282443764
conversation_trace,packed,0.0025,6619136,6247454,0.05949335521317964,6831646,-0.03110670547039469,9199104,-0.280458618578505,8657920,-0.23548196333530455,9039360,-0.2677428490512603
conversation_trace,packed,0.005,6685696,6610198,0.01142144304905844,8104655,-0.175079506777278,11681646,-0.42767517522787457,9392128,-0.2881596162232883,11365888,-0.41177530519392763
conversation_trace,packed,0.01,7367680,7881073,-0.06514252564339906,12517933,-0.41142998608476333,14637427,-0.496654705775817,10917888,-0.3251735134121178,14584320,-0.49482183605406355
conversation_trace,packed,0.02,8318464,11910358,-0.30157733293995026,21005951,-0.6039948869727441,18376244,-0.5473251225876191,13672960,-0.39161205766710355,18397696,-0.5478529485431219
conversation_trace,packed,0.05,11785110,28927424,-0.5925973221811939,29601108,-0.6018692948926101,26509890,-0.5554447792880317,18912946,-0.37687602978404317,26398492,-0.5535688174915446
conversation_trace,packed,0.1,17229271,41101604,-0.5808126855584517,31349303,-0.4504097587113819,35119237,-0.5094064543600421,24068567,-0.2841588367101373,35177901,-0.5102245867369972
synthetic_trace,fixed_block,0.001,167936,215040,-0.21904761904761905,249856,-0.32786885245901637,300058,-0.44032153783601835,295936,-0.43252595155709345,219136,-0.2336448598130841
synthetic_trace,fixed_block,0.0025,585728,464896,0.2599118942731278,596992,-0.018867924528301886,807988,-0.2750783427476646,661504,-0.11455108359133127,624128,-0.06152584085315833
