trace,size_model,capacity_fraction,lru_avoided_prefill_tokens,offline_next_use_avoided_prefill_tokens,headroom_vs_lru_fraction
conversation_trace,fixed_block,0.001,6183424,12810380,1.071729190817256
conversation_trace,fixed_block,0.0025,6246942,19162425,2.0674888609498856
conversation_trace,fixed_block,0.005,6586134,26731975,3.0588264678489687
conversation_trace,fixed_block,0.01,7839601,36062326,3.600020587782465
conversation_trace,fixed_block,0.02,11656548,46011409,2.947258570890799
conversation_trace,fixed_block,0.05,28573596,54093414,0.8931258774709351
conversation_trace,fixed_block,0.1,40544548,54093414,0.3341723281759116
conversation_trace,packed,0.001,6183936,12811916,1.0718060471518462
conversation_trace,packed,0.0025,6247454,19172153,2.0687945841618043
conversation_trace,packed,0.005,6610198,26738119,3.04498004447068
conversation_trace,packed,0.01,7881073,36068982,3.576658787451912
conversation_trace,packed,0.02,11910358,46015505,2.863486303266451
conversation_trace,packed,0.05,28927424,54093414,0.8699699634505996
conversation_trace,packed,0.1,41101604,54093414,0.3160900971164045
toolagent_trace,fixed_block,0.001,47694444,76941817,0.6132239008803625
toolagent_trace,fixed_block,0.0025,69172600,83286333,0.20403646819694504
toolagent_trace,fixed_block,0.005,71297605,90895730,0.2748777465947138
toolagent_trace,fixed_block,0.01,72610869,100221740,0.38025809882539763
toolagent_trace,fixed_block,0.02,76171714,110115733,0.4456249861989452
toolagent_trace,fixed_block,0.05,93195333,115772917,0.24226088660469725
toolagent_trace,fixed_block,0.1,105267058,115772917,0.09980196273747861
toolagent_trace,packed,0.001,47700588,76950557,0.6131993383393932
toolagent_trace,packed,0.0025,69198712,83306849,0.2038786068734921
toolagent_trace,packed,0.005,71362371,90921330,0.2740794444736148
toolagent_trace,packed,0.01,72732660,100240571,0.3782057606582792
toolagent_trace,packed,0.02,76760882,110130069,0.4347160445603009
toolagent_trace,packed,0.05,94162336,115772917,0.2295034502967301
toolagent_trace,packed,0.1,106221379,115772917,0.08992105063896788
synthetic_trace,fixed_block,0.001,215040,2214598,9.29853980654762
synthetic_trace,fixed_block,0.0025,464896,4658992,9.021579019823788
synthetic_trace,fixed_block,0.005,1149240,7527207,5.549725905816017
synthetic_trace,fixed_block,0.01,2251172,11215415,3.982033802836922
synthetic_trace,fixed_block,0.02,4696768,15899288,2.385155068336354
synthetic_trace,fixed_block,0.05,9410318,24087029,1.5596402799565328
synthetic_trace,fixed_block,0.1,15563881,31095775,0.9979447928187063
synthetic_trace,packed,0.001,219136,2215622,9.110716632593459
synthetic_trace,packed,0.0025,472576,4658992,8.858714788732394
synthetic_trace,packed,0.005,1174328,7530791,5.412851435033483
synthetic_trace,packed,0.01,2281380,11222583,3.919208110880257
synthetic_trace,packed,0.02,4728512,15907480,2.3641619181679143
synthetic_trace,packed,0.05,9505038,24095733,1.5350485710840924
synthetic_trace,packed,0.1,15877701,31105504,0.9590685074621319
