policy,size_model,capacity_bytes,capacity_fraction,avoided_prefill_tokens,reused_prefix_tokens,block_hit_rate,request_hit_rate,avoided_tokens_per_cache_byte,requested_tokens,requested_blocks,hit_blocks,trace,working_set_bytes,reference_working_set_bytes,effective_capacity_fraction,online_rank,gap_to_best_online_fraction,gain_vs_lru_fraction
lfu,fixed_block,185744204,0.001,7799296,7799296,0.05280069324090121,0.9991688138974316,0.04198944479581177,144793823,288500,15233,conversation_trace,191669207040,185744203776,0.0009690873503808908,1,0.0,0.2613231762855014
structural,fixed_block,185744204,0.001,7693312,7693312,0.05208318890814558,0.9991688138974316,0.04141885364024602,144793823,288500,15026,conversation_trace,191669207040,185744203776,0.0009690873503808908,2,0.013588918794721985,0.24418315806905688
frequency_x_prefix_length,fixed_block,185744204,0.001,7378432,7378432,0.04995147313691508,0.9991688138974316,0.03972361904762315,144793823,288500,14411,conversation_trace,191669207040,185744203776,0.0009690873503808908,3,0.0539617934746931,0.19325991554193922
longest_first,fixed_block,185744204,0.001,6334976,6334976,0.04288734835355286,0.9991688138974316,0.03410591482036231,144793823,288500,12373,conversation_trace,191669207040,185744203776,0.0009690873503808908,4,0.18775027899954047,0.024509398029311916
lru_2hit,fixed_block,185744204,0.001,6256280,6256280,0.042357019064124785,0.9991688138974316,0.033682235382160294,144793823,288500,12220,conversation_trace,191669207040,185744203776,0.0009690873503808908,5,0.19784042046871922,0.01178246874223731
lru,fixed_block,185744204,0.001,6183424,6183424,0.041861351819757364,0.9991688138974316,0.03328999703269341,144793823,288500,12077,conversation_trace,191669207040,185744203776,0.0009690873503808908,6,0.2071817764064859,0.0
lfu,fixed_block,464360509,0.0025,9197056,9197056,0.06226343154246101,0.9991688138974316,0.019805853042511846,144793823,288500,17963,conversation_trace,191669207040,185744203776,0.002422718370734905,1,0.0,0.4722493021385504
structural,fixed_block,464360509,0.0025,9039360,9039360,0.06119584055459272,0.9991688138974316,0.01946625482745347,144793823,288500,17655,conversation_trace,191669207040,185744203776,0.002422718370734905,2,0.017146356399265157,0.44700559089551334
frequency_x_prefix_length,fixed_block,464360509,0.0025,8657920,8657920,0.058613518197573655,0.9991688138974316,0.018644824079990834,144793823,288500,16910,conversation_trace,191669207040,185744203776,0.002422718370734905,3,0.05862049768969548,0.38594531532388165
lru_2hit,fixed_block,464360509,0.0025,6831646,6831646,0.046256499133448876,0.9991688138974316,0.014711944421613166,144793823,288500,13345,conversation_trace,191669207040,185744203776,0.002422718370734905,4,0.25719208407559985,0.0935984358426891
