trace,l1_fraction,l2_multiplier,cell,target,seeds,terminal_common_population_ranking_delta_mean,fit_population_ranking_delta_mean,own_policy_test_ranking_delta_mean,ranking_nonfinite
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,5,-0.15805255102263338,0.044811766341531056,-0.0696298828295713,False
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,5,-0.19055332763345778,0.18776924007690554,-0.21086728493002432,False
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",next_use,5,-0.1276553650946813,0.01393753578281185,-0.08596521016653107,False
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",binary,5,-0.09531630353687189,0.08467568135322061,-0.05018753663738022,False
conversation_trace,0.01,1.0,"l1=0.01,l2x1",next_use,5,-0.058986523013488626,0.034436880112940105,-0.04029759235112255,False
conversation_trace,0.01,1.0,"l1=0.01,l2x1",binary,5,-0.02395464024713152,0.09166827628252863,-0.018276436252600427,False
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,5,0.017821823690983084,0.026132933225857476,0.00921541644780528,False
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,5,0.04661009756698233,0.02380905714330339,0.025753198595119375,False
conversation_trace,0.02,1.0,"l1=0.02,l2x1",next_use,5,0.011269320871996346,0.053120931700946936,0.019450234467006965,False
conversation_trace,0.02,1.0,"l1=0.02,l2x1",binary,5,0.08223141899331263,0.04771663014578294,0.06090195788480768,False
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,5,0.004931114688540561,0.020283446715913554,0.0059896769012528495,False
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,5,0.020146685365012386,0.010446015613600678,0.01800140240072612,False
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,5,-0.25578581322746446,0.040736889972460756,-0.16103305682060196,False
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,5,-0.23134213959834055,0.17781708302044757,-0.2510332989823029,False
toolagent_trace,0.0025,4.0,"l1=0.0025,l2x4",next_use,5,-0.16984170518146682,0.011135433888909913,-0.11278754409866595,False
toolagent_trace,0.0025,4.0,"l1=0.0025,l2x4",binary,5,-0.11049583401983251,0.0949757617631283,-0.06324183549021709,False
toolagent_trace,0.01,1.0,"l1=0.01,l2x1",next_use,5,-0.10677076466861693,0.032043559130114224,-0.06741654952634654,False
toolagent_trace,0.01,1.0,"l1=0.01,l2x1",binary,5,-0.04116008537955571,0.10110773562784883,-0.031771968995515085,False
toolagent_trace,0.01,4.0,"l1=0.01,l2x4",next_use,5,0.015524849338046598,0.03513240243367964,0.00453076433789622,False
toolagent_trace,0.01,4.0,"l1=0.01,l2x4",binary,5,0.05508630710984439,0.028506522659036436,0.0357385529956443,False
toolagent_trace,0.02,1.0,"l1=0.02,l2x1",next_use,5,0.0015972976890511414,0.06018204184262912,-0.0014736289994107365,False
toolagent_trace,0.02,1.0,"l1=0.02,l2x1",binary,5,0.09045420906941608,0.05973111160877469,0.055583412063094514,False
toolagent_trace,0.02,4.0,"l1=0.02,l2x4",next_use,5,0.014201752351783559,0.023907362161330974,0.013592220144063916,False
toolagent_trace,0.02,4.0,"l1=0.02,l2x4",binary,5,0.023118499096571286,0.013686691280546604,0.029072335357376033,False
