trace,l1_fraction,l2_multiplier,cell,target,iteration,seeds,avoided_prefill_tokens_mean,avoided_prefill_tokens_std,avoided_prefill_tokens_ci95_half,avoided_prefill_tokens_min,avoided_prefill_tokens_max,avoided_prefill_tokens_all_positive,avoided_prefill_tokens_n,l2_avoided_tokens_mean,l2_avoided_tokens_std,l2_avoided_tokens_ci95_half,l2_avoided_tokens_min,l2_avoided_tokens_max,l2_avoided_tokens_all_positive,l2_avoided_tokens_n,input_token_points_vs_pi0_mean,input_token_points_vs_pi0_std,input_token_points_vs_pi0_ci95_half,input_token_points_vs_pi0_min,input_token_points_vs_pi0_max,input_token_points_vs_pi0_all_positive,input_token_points_vs_pi0_n,label_window_avoided_prefill_tokens_mean,label_window_avoided_prefill_tokens_std,label_window_avoided_prefill_tokens_ci95_half,label_window_avoided_prefill_tokens_min,label_window_avoided_prefill_tokens_max,label_window_avoided_prefill_tokens_all_positive,label_window_avoided_prefill_tokens_n
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,5,3260753.2,11912.117662279868,14788.47645207245,3243550.0,3273758.0,True,5,597811.2,11912.117662279868,14788.47645207245,580608.0,610816.0,True,5,0.0,0.0,0.0,0.0,0.0,False,5,1940684.8,7693.641218564848,9551.38584231079,1929216.0,1949184.0,True,5
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,5,2963076.4,28404.235402488834,35262.862431165246,2943518.0,3008030.0,True,5,300134.4,28404.235402488834,35262.862431165246,280576.0,345088.0,True,5,-0.5067519102180127,0.05026909595766634,0.062407320252630766,-0.5595712527691162,-0.4262154869222708,False,5,1695129.6,25792.301735207737,32020.238354736422,1675776.0,1734656.0,True,5
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,5,2700625.2,10552.666544527976,13100.765550233551,2692126.0,2713630.0,True,5,37683.2,10552.666544527976,13100.765550233551,29184.0,50688.0,True,5,-0.9535373061205812,0.021911842932279702,0.027202784795487805,-0.9866583460041115,-0.9317471483024693,False,5,1549516.8,6582.7352369664695,8172.235013289364,1542144.0,1558528.0,True,5
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,5,2716906.8,9206.039061398773,11428.974741196298,2707998.0,2728990.0,True,5,53964.8,9206.039061398773,11428.974741196298,45056.0,66048.0,True,5,-0.9258202253759429,0.03377629098097056,0.04193208109353334,-0.9631249755605505,-0.8759643442881025,False,5,1530470.4,2272.495720568028,2821.2237659029033,1528320.0,1533952.0,True,5
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,5,3556894.0,22299.936502151748,27684.58935635335,3525662.0,3575838.0,True,5,893952.0,22299.936502151748,27684.58935635335,862720.0,912896.0,True,5,0.0,0.0,0.0,0.0,0.0,False,5,2140160.0,10373.529389749663,12878.37305292646,2128384.0,2154496.0,True,5
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,5,3247096.8,23324.67313168611,28956.76395578932,3218407.0,3273310.0,True,5,584154.8,23324.67313168611,28956.76395578932,555465.0,610368.0,True,5,-0.5273851468444694,0.0635758704399797,0.0789272142516518,-0.5971439538006436,-0.46642854223316466,False,5,1898057.8,13726.94821145618,17041.524952926407,1885565.0,1916285.0,True,5
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,5,3152008.0,15436.301629600272,19163.627293515223,3128426.0,3166945.0,True,5,489066.0,15436.301629600272,19163.627293515223,465484.0,504003.0,True,5,-0.6892601436206325,0.051267177997459834,0.06364640411338383,-0.7564249003828037,-0.6359406488533602,False,5,1838975.4,15671.393613843027,19455.48574988809,1812480.0,1852285.0,True,5
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,5,3085289.4,30967.370727912952,38444.90507699444,3065450.0,3139690.0,True,5,422347.4,30967.370727912952,38444.90507699444,402508.0,476748.0,True,5,-0.80283895794903,0.07325993264579764,0.09094963796768266,-0.8627608705351902,-0.6832099701139474,False,5,1788594.6,16440.95574472482,20410.87015538211,1777152.0,1817088.0,True,5
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",binary,0,5,5743850.8,38532.20973679033,47836.387491641006,5685790.0,5789726.0,True,5,3080908.8,38532.20973679033,47836.387491641006,3022848.0,3126784.0,True,5,0.0,0.0,0.0,0.0,0.0,False,5,3397529.6,38725.27831791529,48076.075366337085,3357696.0,3443712.0,True,5
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",binary,1,5,4826393.2,64740.31821979253,80372.83534604035,4759318.0,4924826.0,True,5,2163451.2,64740.31821979253,80372.83534604035,2096376.0,2261884.0,True,5,-1.5618395230801778,0.08982010369180962,0.11150850974005638,-1.6179260274191345,-1.4035108744889122,False,5,2761523.2,41913.071793892654,52033.60920625542,2701312.0,2807296.0,True,5
