trace,l1_fraction,l2_multiplier,cell,target,seed,iteration,policy,l2_admissions,l2_rejections,l2_evictions,l2_decisions,l1_evictions,removal_rejections,removal_rejections_window,removal_promotions,resident_evictions,resident_evictions_window,evictions_with_orphans,evictions_with_orphans_window,share_evictions_with_orphans,share_evictions_with_orphans_window,orphaned_blocks,orphaned_blocks_window,orphaned_bytes,orphaned_bytes_window,orphaned_blocks_per_eviction
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,0,pi0,60944,214888,53922,268810,275832,214888,89332,6580,53922,20289,14916,5050,0.2766217870257038,0.24890334664103703,43548,14753,45512816640,15412011008,0.8076109936575053
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,1,pi1,44029,231803,37685,269488,275832,231803,98120,5901,37685,12540,12781,3607,0.3391535093538543,0.28763955342902714,74500,18880,77759571968,19746551808,1.976913891468754
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,2,pi2,43579,232253,36765,269018,275832,232253,97227,6372,36765,12869,11893,3616,0.3234870121039032,0.28098531354417594,100116,27113,104382679040,28328898560,2.7231334149326805
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,3,pi3,37777,238055,32171,270226,275832,238055,103100,5163,32171,8171,9882,1564,0.3071710546765721,0.19140864031330315,66028,6581,68811642880,6869454848,2.052407447701346
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,0,pi0,60571,215261,53573,268834,275832,215261,89397,6556,53573,20225,14760,5090,0.2755119183170627,0.25166872682323854,42894,14978,44836759552,15639826432,0.8006645138409273
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,1,pi1,43544,232288,37247,269535,275832,232288,98547,5854,37247,12165,12431,3390,0.333744999597283,0.2786683107274969,71316,16982,74445268992,17749067776,1.9146776921631272
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,2,pi2,44056,231776,37205,268981,275832,231776,96710,6409,37205,13298,12236,3866,0.3288805268109125,0.2907204090840728,105636,33371,110256451584,34902571008,2.8392957935761323
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,3,pi3,36750,239082,31094,270176,275832,239082,103561,5213,31094,7705,9677,1450,0.31121759825046635,0.18818948734587929,60556,5633,63137415168,5874939904,1.9475139898372675
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,0,pi0,60918,214914,53914,268828,275832,214914,89503,6562,53914,20123,14926,5115,0.27684831398152615,0.2541867514784078,43482,15063,45455413248,15736915968,0.8065066587528286
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,1,pi1,44987,230845,38594,269439,275832,230845,97950,5950,38594,12711,13206,3743,0.3421775405503446,0.2944693572496263,80585,19433,84139913216,20321323008,2.088018863035705
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,2,pi2,44224,231608,37419,269027,275832,231608,96938,6363,37419,13135,12369,3876,0.33055399663272667,0.29508945565283595,109922,32035,114714327040,33505959936,2.9375985461931107
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,3,pi3,38219,237613,32574,270187,275832,237613,102712,5202,32574,8484,10202,1737,0.3131945723583226,0.20473833097595473,71091,7223,74104713216,7531618304,2.1824461226745258
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,0,pi0,58828,217004,50849,267853,275832,217004,90803,7537,50849,18659,13905,4690,0.2734567051466106,0.25135323436411383,39953,13435,41743341568,14020917248,0.7857184998721706
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,1,pi1,43183,232649,35727,268376,275832,232649,96137,7009,35727,13831,12490,4586,0.34959554398634085,0.33157400043380814,65281,20103,67987148800,20994197504,1.8272175105662385
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,2,pi2,46216,229616,39133,268749,275832,229616,96604,6641,39133,13647,12519,4016,0.31990902818593003,0.29427713050487286,71052,20188,74118256640,21098983424,1.815654307106534
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,3,pi3,48665,227167,41466,268633,275832,227167,94645,6755,41466,15279,14658,5135,0.35349442917088697,0.33608220433274427,95873,30230,99897640960,31574515712,2.3120870110451937
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,0,pi0,59163,216669,51203,267872,275832,216669,90658,7518,51203,18822,14007,4774,0.27355818994980763,0.25363935819785355,40316,13890,42105673728,14495414272,0.7873757397027518
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,1,pi1,42973,232859,35547,268406,275832,232859,96400,6982,35547,13586,12360,4454,0.34770866739809264,0.327837479758575,64519,19281,67218317312,20132624384,1.8150336174642023
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,2,pi2,46360,229472,39338,268810,275832,229472,96297,6579,39338,13977,12901,4170,0.32795261579134677,0.2983472848250698,70808,19181,73768749056,20029990912,1.7999898317148812
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,3,pi3,49315,226517,42095,268612,275832,226517,94627,6776,42095,15281,14821,5100,0.3520845706140872,0.33374779137491,98566,31044,102653681664,32433950720,2.341513243853189
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,0,pi0,59233,216599,51241,267840,275832,216599,90720,7550,51241,18748,13935,4712,0.27195019613200366,0.25133347557072755,40764,14344,42591326208,14985451520,0.7955348256279151
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,1,pi1,42903,232929,35462,268391,275832,232929,96296,6996,35462,13691,12264,4462,0.34583497828661663,0.32590753049448545,61644,19282,64205619200,20119691264,1.7383114319553326
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,2,pi2,44934,230898,37820,268718,275832,230898,96980,6671,37820,13270,12453,3997,0.3292702273929138,0.30120572720422006,69167,19280,72056258560,20139694080,1.8288471708090956
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,3,pi3,49974,225858,42794,268652,275832,225858,94641,6736,42794,15346,15140,5136,0.3537879141935785,0.3346800469177636,97524,30105,101533214720,31440275456,2.2789176052717672
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,0,pi0,59096,216736,51131,267867,275832,216736,90709,7523,51131,18781,14045,4780,0.27468658934892726,0.25451253926840955,40583,13956,42398523392,14577680384,0.7937063620895347
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,1,pi1,42852,232980,35419,268399,275832,232980,96125,6987,35419,13811,12373,4555,0.34933227928512944,0.32980957208022593,64899,20301,67604606976,21193385984,1.8323216352804992
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,2,pi2,44593,231239,37525,268764,275832,231239,97335,6625,37525,12966,12046,3757,0.3210126582278481,0.28975782816597256,62077,17253,64606799872,18017239040,1.6542838107928048
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,3,pi3,49862,225970,42644,268614,275832,225970,94269,6775,42644,15631,14976,5130,0.35118656786417785,0.32819397351417057,97309,29693,101318492160,30988539904,2.2818919425945032
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,0,pi0,59126,216706,51176,267882,275832,216706,90780,7508,51176,18713,14093,4776,0.2753829920275129,0.2552236413188692,40550,13833,42378172416,14450905088,0.7923636079412224
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,1,pi1,44621,231211,37202,268413,275832,231211,95482,6973,37202,14464,12886,4686,0.3463792269232837,0.3239767699115044,66745,22270,69564715008,23260399616,1.7941239718294715
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,2,pi2,45449,230383,38367,268750,275832,230383,96867,6639,38367,13415,12590,4017,0.3281465843042198,0.2994409243384271,66454,19349,69151522816,20199487488,1.7320614069382543
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,3,pi3,49681,226151,42501,268652,275832,226151,94581,6737,42501,15348,14941,5062,0.3515446695371874,0.3298149596038572,95152,29032,99108386816,30303582208,2.2388179101668197
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,0,pi0,61028,214804,53975,268779,275832,214804,89365,6611,53975,20258,14925,5177,0.2765169059749884,0.25555336163490966,43608,15098,45583124480,15783917568,0.8079295970356647
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,1,pi1,44418,231414,38083,269497,275832,231414,98262,5892,38083,12432,12950,3617,0.3400467400152299,0.29094272844272845,75649,18952,78975903744,19808546816,1.9864243888349131
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,2,pi2,43963,231869,37117,268986,275832,231869,96836,6404,37117,13200,12287,3857,0.3310342969528787,0.2921969696969697,106835,31227,111422924800,32645091328,2.8783306840531293
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,3,pi3,38498,237334,32864,270198,275832,237334,102704,5191,32864,8521,10366,1746,0.315421129503408,0.2049055275202441,69826,8533,72804200448,8911880192,2.1246957156767285
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,0,pi0,60528,215304,53540,268844,275832,215304,89412,6546,53540,20196,14898,5099,0.27825924542398206,0.25247573776985544,43717,14833,45690273792,15486349312,0.8165296974224878
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,1,pi1,44637,231195,38196,269391,275832,231195,97745,5998,38196,12872,12946,3746,0.33893601424232905,0.2910192666252331,81369,21548,84952954880,22540472320,2.130301602262017
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,2,pi2,44213,231619,37389,269008,275832,231619,96923,6382,37389,13144,12270,3705,0.32817138730642703,0.2818776628119294,104735,28431,109250807808,29725405184,2.8012249592126026
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,3,pi3,37697,238135,32072,270207,275832,238135,102722,5182,32072,8477,9964,1688,0.31067597904714395,0.19912704966379616,67764,7634,70602231808,7964147712,2.1128710401596407
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",next_use,0,0,pi0,98123,177709,76782,254491,275832,177709,76320,19570,76782,27941,25476,8667,0.33179651480815814,0.31018932751154216,87601,29565,91485515776,30850426880,1.1409054205412728
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",next_use,0,1,pi1,96023,179809,75895,255704,275832,179809,77323,18354,75895,27348,29169,9859,0.38433361881546874,0.3605016820242797,132295,39414,138278404096,41184301056,1.7431319586270506
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",next_use,0,2,pi2,94634,181198,74261,255459,275832,181198,77847,18602,74261,26755,28451,9500,0.38312169240920535,0.35507381797794807,149245,43414,156160921600,45377683456,2.0097359313771697
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",next_use,0,3,pi3,96167,179665,76007,255672,275832,179665,77565,18389,76007,27153,29538,9734,0.3886221005959977,0.35848709166574594,145892,43000,152254658560,44905592832,1.9194547870590866
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",binary,0,0,pi0,111342,164490,90927,255417,275832,164490,69835,18644,90927,34455,33937,12429,0.37323347300581783,0.3607313887679582,116492,42278,121821091840,44192749568,1.2811596115565234
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",binary,0,1,pi1,90319,185513,71915,257428,275832,185513,81615,16633,71915,24101,28227,8246,0.3925050406730168,0.3421434795236712,152009,32818,158597238784,34215325696,2.1137314885628866
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",binary,0,2,pi2,95555,180277,75567,255844,275832,180277,75811,18217,75567,28983,31093,11156,0.41146267550650417,0.38491529517303247,261462,74156,273710043136,77622614016,3.4600023819921395
