trace,l1_fraction,l2_multiplier,cell,target,seed,window,left_iteration,right_iteration,left_decisions,right_decisions,shared_event_keys,left_only_event_keys,right_only_event_keys,exact_ordered_candidate_sets,different_candidate_sets_on_shared_keys,exact_match_share_of_shared,exact_match_share_of_key_union,candidate_set_jaccard_mean,candidate_set_jaccard_min,prediction_agreement_exact_sets,prediction_comparable_exact_sets,prediction_agreement_rate
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,train,0,1,40000.0,40000.0,14070.0,25930.0,25930.0,1.0,14069.0,7.107320540156361e-05,1.5167602002123465e-05,0.022916636600642876,0.0,0.0,1.0,0.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,train,0,2,40000.0,40000.0,14012.0,25988.0,25988.0,1.0,14011.0,7.136739937196689e-05,1.5154270473419409e-05,0.024744440821260365,0.0,0.0,1.0,0.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,train,0,3,40000.0,40000.0,14125.0,25875.0,25875.0,1.0,14124.0,7.079646017699115e-05,1.5180265654648956e-05,0.02359482870596547,0.0,0.0,1.0,0.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,train,1,2,40000.0,40000.0,14166.0,25834.0,25834.0,1.0,14165.0,7.059155724975294e-05,1.5189719597776225e-05,0.025774779717520877,0.0,1.0,1.0,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,train,1,3,40000.0,40000.0,14154.0,25846.0,25846.0,1.0,14153.0,7.065140596297866e-05,1.5186951371381709e-05,0.025561045951843317,0.0,1.0,1.0,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,train,2,3,40000.0,40000.0,14327.0,25673.0,25673.0,6.0,14321.0,0.00041878969777343477,9.136174683659952e-05,0.029109742683489495,0.0,6.0,6.0,1.0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,test,0,1,40000.0,40000.0,26243.0,13757.0,13757.0,0.0,26243.0,0.0,0.0,0.02132799512001448,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,test,0,2,40000.0,40000.0,26420.0,13580.0,13580.0,0.0,26420.0,0.0,0.0,0.02153335610151562,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,test,0,3,40000.0,40000.0,26217.0,13783.0,13783.0,0.0,26217.0,0.0,0.0,0.02058335906008989,0.0,0.0,0.0,nan
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,test,1,2,40000.0,40000.0,26599.0,13401.0,13401.0,0.0,26599.0,0.0,0.0,0.026390565405309194,0.0,0.0,0.0,nan
