trace,l1_fraction,l2_multiplier,cell,target,seed,iteration,policy,model_path,model_sha256,shared_pi0,fitted_from_population_iteration,format,class,indices,l2,standardize,mean,scale,coefficients,intercept,converged,iterations,condition_number,feature_names
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,0,pi0,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/pi0/conversation_trace__binary.json,fce76395064b55fd399cbc6fb72b969d45f49f1b39548fb62d0c8aca3f320e96,True,,persistent-kv-admission-ranker-v1,LogisticRanker,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.01,True,"[0.8051048876712938, -5.3211515428646265, 9.308249730897968, 5.515828680384217, 0.017586493297015227, 0.8007776311726229, 0.9585913082161682, 0.9544446681395373, 0.2501944447551023, 0.027852346330448727, 0.9514870812314173, 0.31825503807182565, 0.12581134106447658, 0.06017355645574165, 0.024441811852226613, 0.11935339437131454, 0.4091397292414149, 0.6090127913194048, 0.752065909839542, -0.007104226984751001, -0.16268491303581295, 0.6639124995559232, 0.8025768145311382]","[0.2582042050180676, 1.3465404599076047, 1.1253073358919792, 1.2783140870387981, 0.0738682388111881, 0.3994155938195023, 1.9517229532054683, 1.9443736541179801, 0.9635433849854821, 0.12327602331795963, 1.9418977499145818, 1.197142166332097, 0.7702606995313442, 0.5241909210517007, 0.13055023343666464, 0.2687453016600005, 0.40185337778689545, 0.38352883306304847, 0.4188532016079166, 0.14203803960940545, 0.3514011719680599, 0.16873716472716832, 0.2553981737659835]","[-0.061519581481364646, 0.3952092344775195, -0.04380835835990673, -0.1577974918574282, -0.11042198575311482, 0.09316938391645617, 0.14461820617076035, 0.11561410877057013, -0.02048535732865597, 0.09855791424875007, 0.14684229722044811, -0.053506256254073875, 0.06960180202108647, 0.06072205140871626, -0.11842950102810211, 0.057263599698346206, 0.27812766988654275, 0.23189059350889768, 0.21334742390449085, 0.020403366152989155, 0.05186019476840695, 0.2958774325812698, -0.0026209414934569224]",-2.1162136018203364,True,7,,"['log_frequency', 'neg_log_recency', 'log_prefix_tokens', 'log_age', 'log_reuse_rate', 'single_occurrence', 'log_mean_interval', 'log_median_interval', 'log_std_interval', 'interval_cv', 'log_interval_lag1', 'log_interval_lag2', 'log_interval_lag3', 'log_interval_lag4', 'log_freq_10s', 'log_freq_60s', 'log_freq_300s', 'log_freq_600s', 'recent_over_lifetime', 'interval_trend', 'burstiness', 'log_fan_out', 'log_branch_diversity']"
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,1,pi1,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/learned/conversation_trace__l1_0.0025__l2x_1__binary__seed_2/pi1.json,1a725cfa649bb463279d0a13b43eeccd0bb9b12dc6cc3e4fea1ef1d57b3ae231,False,0,persistent-kv-admission-ranker-v1,LogisticRanker,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.01,True,"[1.6187484334015847, -3.4619401382279396, 8.925232243998845, 5.5903376359144845, 0.024345999997770415, 0.09908, 4.1338826582622525, 3.971039839038849, 2.89289824141275, 0.45204444287915463, 4.015147639327049, 3.0654884911465645, 2.6177048257875444, 2.0374379464673997, 0.1136152035331726, 0.5516372338676453, 1.2571182444349924, 1.5123653079764048, 0.904204587516139, -0.11873502821230786, -0.37306435884066663, 0.7994106179507573, 1.600729243496259]","[0.555943315690789, 0.9478285220530134, 1.0675113898176734, 1.292016028304427, 0.04781355973196695, 0.2987693987007371, 1.4833192758968274, 1.4483333179903375, 1.9167942726398324, 0.3699827113783864, 1.5184809722769805, 2.0018063245541797, 2.2714345459061396, 2.2874729744019677, 0.25682573950947957, 0.3400620937595326, 0.3706875440799739, 0.46069325258952937, 0.17106196755467065, 0.5757041547193111, 0.3595727814263566, 0.23284828097251056, 0.5519725333494561]","[0.16891445918365952, 0.3133050056059026, 0.08288794609946779, 0.043292495768260775, -0.2111691655470707, -0.10165806030194434, -0.0016512909398872443, -0.0571671975550947, -0.3883524401627071, 0.759229230067148, 0.011784795746504642, -0.1055700747791753, 0.06788376933242514, 0.0017609639753072865, -0.18600128557668527, 0.1762014111566025, -0.1863512692721446, 0.25313502592086906, -0.07555264307057964, 0.035337787638068816, 0.14958848091186958, -0.01015882761908863, -0.08732338039330362]",0.45718808021608165,True,5,,"['log_frequency', 'neg_log_recency', 'log_prefix_tokens', 'log_age', 'log_reuse_rate', 'single_occurrence', 'log_mean_interval', 'log_median_interval', 'log_std_interval', 'interval_cv', 'log_interval_lag1', 'log_interval_lag2', 'log_interval_lag3', 'log_interval_lag4', 'log_freq_10s', 'log_freq_60s', 'log_freq_300s', 'log_freq_600s', 'recent_over_lifetime', 'interval_trend', 'burstiness', 'log_fan_out', 'log_branch_diversity']"
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,2,pi2,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/learned/conversation_trace__l1_0.0025__l2x_1__binary__seed_2/pi2.json,99ac9bee0f1e1bb0fa7dc9651b86b0debcc59c02c561b4024661518c5284d525,False,1,persistent-kv-admission-ranker-v1,LogisticRanker,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.01,True,"[1.6343614712905883, -3.4793335223237674, 9.562808837649028, 5.657322520448367, 0.02421175114353265, 0.14981333333333333, 4.018015782140096, 3.767343611509005, 3.1451874009410616, 0.558134789451569, 3.859874454395771, 3.1656206774632136, 2.5226405194147428, 1.9853510390369098, 0.1179500313536326, 0.5647357879892985, 1.1043350920263926, 1.4181074152286848, 0.8218362588476886, -0.15814133798574828, -0.24102758260222734, 0.7165296757602692, 1.6136915250666937]","[0.6232329389568602, 1.0426164430768792, 1.098351167284462, 1.4463979199204269, 0.047880839036455666, 0.35688835577654937, 1.7840302134854067, 1.7079500625395858, 2.1026023871972495, 0.41139611764655093, 1.8334884760647907, 2.2020082949552653, 2.2428192385658594, 2.197046452594586, 0.2606635579499027, 0.34205831903195594, 0.4299492884885113, 0.4956113197539538, 0.2473683728524083, 0.6837346688971827, 0.3413480758225457, 0.15277895958742274, 0.6208222015732692]","[0.02834108801334482, 0.1142248531857799, 0.3673261572823143, -0.21855251291289224, -0.0639674442430466, -0.3477101365230173, 0.05703686919640072, 0.013412410176724827, -0.15473463288991765, 0.3766617611817967, 0.09564590809390201, -0.07600055883939712, 0.31987362847555256, 0.3136036854468703, -0.06389526233255037, 0.03296151390811238, -0.0542145055718322, 0.24642296502697744, 0.2595438336278912, 0.10765917945220752, 0.13869840965378274, 0.001967005743607507, 0.181629691767062]",0.7728895592543494,True,6,,"['log_frequency', 'neg_log_recency', 'log_prefix_tokens', 'log_age', 'log_reuse_rate', 'single_occurrence', 'log_mean_interval', 'log_median_interval', 'log_std_interval', 'interval_cv', 'log_interval_lag1', 'log_interval_lag2', 'log_interval_lag3', 'log_interval_lag4', 'log_freq_10s', 'log_freq_60s', 'log_freq_300s', 'log_freq_600s', 'recent_over_lifetime', 'interval_trend', 'burstiness', 'log_fan_out', 'log_branch_diversity']"
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,3,pi3,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/learned/conversation_trace__l1_0.0025__l2x_1__binary__seed_2/pi3.json,e5a1ba69e8c50b732342faac6d7dcc33f9927def0b7212313dd8f4d11b48c7f2,False,2,persistent-kv-admission-ranker-v1,LogisticRanker,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.01,True,"[1.6742204811843235, -3.64270934585015, 9.916644382931391, 5.71112226878802, 0.024779336055220726, 0.10413333333333333, 4.1549481967671715, 3.9634715956370035, 3.088265767982839, 0.5027224617182787, 4.0519038779290515, 3.1736364946039517, 2.866905989201069, 2.4478976291394234, 0.11378608949661255, 0.4830202500152588, 1.1482516888046264, 1.5046687685696285, 0.8505446936725577, -0.1030443370523481, -0.32272634535444356, 0.7215386631735166, 1.658621962908109]","[0.5707359015361231, 1.1036054494642196, 1.0010751673183922, 1.3938916682142908, 0.050516135985139016, 0.305433433373333, 1.5183926363546367, 1.4726823357173555, 1.9460285763941272, 0.3790660058937587, 1.5684131075711503, 2.019698890661482, 2.2446298331569356, 2.2971717741073725, 0.2569112959590812, 0.36507448341327636, 0.42455304947363687, 0.4585254461282858, 0.20809410503087764, 0.5562750498966429, 0.35220311300017126, 0.15404239138565878, 0.5665319362234423]","[0.06991942981298946, 0.19724864609270057, 0.21344717353799997, -0.0020317321500975733, -0.07842756225837293, -0.4523933470741798, 0.1401749772266197, -0.269512104420377, -0.511301718385029, 1.2435149165754398, 0.1649317236465662, -0.45989875362326527, 0.49046826636633656, -0.1088124969563252, -0.0733186230451884, 0.2504819787753975, -0.36224914232629263, 0.12542254262435915, -0.14093888015296893, 0.08240607399496458, 0.17267815127920244, -0.021207912589081977, -0.03489500343198176]",0.8582837535362557,True,6,,"['log_frequency', 'neg_log_recency', 'log_prefix_tokens', 'log_age', 'log_reuse_rate', 'single_occurrence', 'log_mean_interval', 'log_median_interval', 'log_std_interval', 'interval_cv', 'log_interval_lag1', 'log_interval_lag2', 'log_interval_lag3', 'log_interval_lag4', 'log_freq_10s', 'log_freq_60s', 'log_freq_300s', 'log_freq_600s', 'recent_over_lifetime', 'interval_trend', 'burstiness', 'log_fan_out', 'log_branch_diversity']"
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,0,pi0,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/pi0/conversation_trace__binary.json,fce76395064b55fd399cbc6fb72b969d45f49f1b39548fb62d0c8aca3f320e96,True,,persistent-kv-admission-ranker-v1,LogisticRanker,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.01,True,"[0.8051048876712938, -5.3211515428646265, 9.308249730897968, 5.515828680384217, 0.017586493297015227, 0.8007776311726229, 0.9585913082161682, 0.9544446681395373, 0.2501944447551023, 0.027852346330448727, 0.9514870812314173, 0.31825503807182565, 0.12581134106447658, 0.06017355645574165, 0.024441811852226613, 0.11935339437131454, 0.4091397292414149, 0.6090127913194048, 0.752065909839542, -0.007104226984751001, -0.16268491303581295, 0.6639124995559232, 0.8025768145311382]","[0.2582042050180676, 1.3465404599076047, 1.1253073358919792, 1.2783140870387981, 0.0738682388111881, 0.3994155938195023, 1.9517229532054683, 1.9443736541179801, 0.9635433849854821, 0.12327602331795963, 1.9418977499145818, 1.197142166332097, 0.7702606995313442, 0.5241909210517007, 0.13055023343666464, 0.2687453016600005, 0.40185337778689545, 0.38352883306304847, 0.4188532016079166, 0.14203803960940545, 0.3514011719680599, 0.16873716472716832, 0.2553981737659835]","[-0.061519581481364646, 0.3952092344775195, -0.04380835835990673, -0.1577974918574282, -0.11042198575311482, 0.09316938391645617, 0.14461820617076035, 0.11561410877057013, -0.02048535732865597, 0.09855791424875007, 0.14684229722044811, -0.053506256254073875, 0.06960180202108647, 0.06072205140871626, -0.11842950102810211, 0.057263599698346206, 0.27812766988654275, 0.23189059350889768, 0.21334742390449085, 0.020403366152989155, 0.05186019476840695, 0.2958774325812698, -0.0026209414934569224]",-2.1162136018203364,True,7,,"['log_frequency', 'neg_log_recency', 'log_prefix_tokens', 'log_age', 'log_reuse_rate', 'single_occurrence', 'log_mean_interval', 'log_median_interval', 'log_std_interval', 'interval_cv', 'log_interval_lag1', 'log_interval_lag2', 'log_interval_lag3', 'log_interval_lag4', 'log_freq_10s', 'log_freq_60s', 'log_freq_300s', 'log_freq_600s', 'recent_over_lifetime', 'interval_trend', 'burstiness', 'log_fan_out', 'log_branch_diversity']"
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,1,pi1,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/learned/conversation_trace__l1_0.0025__l2x_1__binary__seed_0/pi1.json,b17e69fdb3780f38261fb68ccbf917493283f9b3b900198cffb2139e03e95773,False,0,persistent-kv-admission-ranker-v1,LogisticRanker,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.01,True,"[1.6218527062344552, -3.4604779009270668, 8.92106684328397, 5.598724034632842, 0.02423794398353202, 0.09716, 4.143405998721917, 3.9836688116049768, 2.897489994403447, 0.4505105903800567, 4.029382767457167, 3.0784044362274807, 2.63229718054533, 2.0411530805945395, 0.11423353945414225, 0.5513194726022085, 1.2580308229231834, 1.5145285105641684, 0.9034209499780834, -0.11402324106098441, -0.3754047129557953, 0.7997137693023681, 1.604005744099617]","[0.5562307419671713, 0.9499487762095404, 1.0709603017752607, 1.284921959144367, 0.04812629838264346, 0.29617551282980836, 1.4733433121311976, 1.4403558236185088, 1.908071806132697, 0.3675955681487325, 1.5102963512933494, 1.9999488106654315, 2.2704553690986544, 2.2841356608014394, 0.2573044810642284, 0.34086367626231384, 0.37221477608685, 0.46068686518976365, 0.17192278961349353, 0.571838771486808, 0.358153320485143, 0.23230100057563732, 0.5524515982282928]","[0.15210150117529816, 0.2974954951515259, 0.08039873954063637, 0.06473791875051724, -0.2010089961462686, -0.08361075607561909, 0.00618567365919308, -0.060132692152555386, -0.3984695954990267, 0.7470011090507238, 0.020496586085382677, -0.09423473560674596, 0.06688031799199017, 0.018253859652726176, -0.1795372541218356, 0.18134842940838383, -0.19939112123026323, 0.26131453849547454, -0.06614317931142445, 0.03819602691545283, 0.15773122077799562, -0.012679153011160425, -0.07710619979956036]",0.47272254837051986,True,5,,"['log_frequency', 'neg_log_recency', 'log_prefix_tokens', 'log_age', 'log_reuse_rate', 'single_occurrence', 'log_mean_interval', 'log_median_interval', 'log_std_interval', 'interval_cv', 'log_interval_lag1', 'log_interval_lag2', 'log_interval_lag3', 'log_interval_lag4', 'log_freq_10s', 'log_freq_60s', 'log_freq_300s', 'log_freq_600s', 'recent_over_lifetime', 'interval_trend', 'burstiness', 'log_fan_out', 'log_branch_diversity']"
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,2,pi2,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/learned/conversation_trace__l1_0.0025__l2x_1__binary__seed_0/pi2.json,39f2e9dee1fcb3ff6c41ed4aa1b159e7a13b05afd90b3a74632d00122267147e,False,1,persistent-kv-admission-ranker-v1,LogisticRanker,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.01,True,"[1.6387617639565468, -3.495798917957942, 9.558220553604762, 5.673434135994911, 0.023899712668322803, 0.15357333333333334, 4.009290144776503, 3.756835658436616, 3.1637163496627547, 0.5621303547955641, 3.8560765475400287, 3.1790190403525034, 2.548845031630993, 2.0249300075960157, 0.11637383897781373, 0.5596270549265544, 1.099198047990799, 1.4204145987995465, 0.820066476105402, -0.15321360786544275, -0.23335308518721334, 0.717333421441714, 1.6184972072498003]","[0.625840759414983, 1.0482535463229552, 1.0943493816563339, 1.444748631755627, 0.04760807839264953, 0.3605392691819051, 1.8032601766070546, 1.7265811781281761, 2.096753322180697, 0.41097039831989446, 1.852613976205347, 2.1945019920772606, 2.2367482368349725, 2.2069033744300146, 0.2592325385010348, 0.34416348120777, 0.4327291646968515, 0.4988071761821721, 0.24734716946727295, 0.6802804497592835, 0.3355910265566287, 0.15716331589952726, 0.622832019229338]","[0.04689049912371656, 0.11550815665965247, 0.35948408843392465, -0.2614810646203931, -0.0655756809456537, -0.38175614605439223, 0.0557354083349038, 0.007189841477047858, -0.15242613515249234, 0.369665155145038, 0.0945301221480014, -0.12059117944941278, 0.34299485274127467, 0.29879196619100445, -0.07195645199737724, 0.011655463982668559, -0.07625040808509732, 0.2558350635367879, 0.25310972421327727, 0.10969373093321193, 0.13783358667840243, -0.00633849728048749, 0.21428688997209236]",0.7976581064067118,True,6,,"['log_frequency', 'neg_log_recency', 'log_prefix_tokens', 'log_age', 'log_reuse_rate', 'single_occurrence', 'log_mean_interval', 'log_median_interval', 'log_std_interval', 'interval_cv', 'log_interval_lag1', 'log_interval_lag2', 'log_interval_lag3', 'log_interval_lag4', 'log_freq_10s', 'log_freq_60s', 'log_freq_300s', 'log_freq_600s', 'recent_over_lifetime', 'interval_trend', 'burstiness', 'log_fan_out', 'log_branch_diversity']"
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,3,pi3,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/learned/conversation_trace__l1_0.0025__l2x_1__binary__seed_0/pi3.json,b8c6d3921f7595810ed43df4c94934438690b468fe4f2430d9607aab6e3d7d9a,False,2,persistent-kv-admission-ranker-v1,LogisticRanker,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.01,True,"[1.6785402157735825, -3.6733144893741607, 9.899231370630265, 5.710505310491721, 0.024956511647494045, 0.10382, 4.144270311214129, 3.9523234240118663, 3.0674533858144595, 0.5035945674382717, 4.05610605016311, 3.1173906934865316, 2.890877156241735, 2.4576155707502365, 0.11238671740849814, 0.4725697000058492, 1.1399673193581898, 1.5067056468470892, 0.8487242715151111, -0.088164277582376, -0.3227475889122812, 0.7200971382665634, 1.6629227463364602]","[0.5754297685267529, 1.1185582111080035, 0.9995396554070612, 1.401415299200766, 0.050549658163662047, 0.30502689651897913, 1.5148755774644462, 1.467876840138981, 1.9591702863335996, 0.37921111675451785, 1.568896740766165, 2.0138128328182856, 2.2409953472749367, 2.2820251017945634, 0.2556479657733667, 0.36897925487650834, 0.432411014324622, 0.46111742436594205, 0.20911708986240654, 0.5504682592080863, 0.3543012960855919, 0.152682098466182, 0.5713385747774848]","[0.03872128096276738, 0.18676373900515703, 0.21348712674096165, -0.03789088842710305, -0.07167232709618697, -0.4367099392802456, 0.16597146962325582, -0.23439985966482485, -0.4771928655111387, 1.2582237563744816, 0.16913974569599724, -0.48382188720167035, 0.4617069516728493, -0.10129114117188286, -0.07326898193013483, 0.23225410024857562, -0.30448706051685637, 0.08344703316375765, -0.17649211023706468, 0.025317781609076613, 0.16875960561150022, -0.02652103964944819, -0.04647643534237585]",0.8598982053940636,True,6,,"['log_frequency', 'neg_log_recency', 'log_prefix_tokens', 'log_age', 'log_reuse_rate', 'single_occurrence', 'log_mean_interval', 'log_median_interval', 'log_std_interval', 'interval_cv', 'log_interval_lag1', 'log_interval_lag2', 'log_interval_lag3', 'log_interval_lag4', 'log_freq_10s', 'log_freq_60s', 'log_freq_300s', 'log_freq_600s', 'recent_over_lifetime', 'interval_trend', 'burstiness', 'log_fan_out', 'log_branch_diversity']"
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,0,pi0,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/pi0/conversation_trace__binary.json,fce76395064b55fd399cbc6fb72b969d45f49f1b39548fb62d0c8aca3f320e96,True,,persistent-kv-admission-ranker-v1,LogisticRanker,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.01,True,"[0.8051048876712938, -5.3211515428646265, 9.308249730897968, 5.515828680384217, 0.017586493297015227, 0.8007776311726229, 0.9585913082161682, 0.9544446681395373, 0.2501944447551023, 0.027852346330448727, 0.9514870812314173, 0.31825503807182565, 0.12581134106447658, 0.06017355645574165, 0.024441811852226613, 0.11935339437131454, 0.4091397292414149, 0.6090127913194048, 0.752065909839542, -0.007104226984751001, -0.16268491303581295, 0.6639124995559232, 0.8025768145311382]","[0.2582042050180676, 1.3465404599076047, 1.1253073358919792, 1.2783140870387981, 0.0738682388111881, 0.3994155938195023, 1.9517229532054683, 1.9443736541179801, 0.9635433849854821, 0.12327602331795963, 1.9418977499145818, 1.197142166332097, 0.7702606995313442, 0.5241909210517007, 0.13055023343666464, 0.2687453016600005, 0.40185337778689545, 0.38352883306304847, 0.4188532016079166, 0.14203803960940545, 0.3514011719680599, 0.16873716472716832, 0.2553981737659835]","[-0.061519581481364646, 0.3952092344775195, -0.04380835835990673, -0.1577974918574282, -0.11042198575311482, 0.09316938391645617, 0.14461820617076035, 0.11561410877057013, -0.02048535732865597, 0.09855791424875007, 0.14684229722044811, -0.053506256254073875, 0.06960180202108647, 0.06072205140871626, -0.11842950102810211, 0.057263599698346206, 0.27812766988654275, 0.23189059350889768, 0.21334742390449085, 0.020403366152989155, 0.05186019476840695, 0.2958774325812698, -0.0026209414934569224]",-2.1162136018203364,True,7,,"['log_frequency', 'neg_log_recency', 'log_prefix_tokens', 'log_age', 'log_reuse_rate', 'single_occurrence', 'log_mean_interval', 'log_median_interval', 'log_std_interval', 'interval_cv', 'log_interval_lag1', 'log_interval_lag2', 'log_interval_lag3', 'log_interval_lag4', 'log_freq_10s', 'log_freq_60s', 'log_freq_300s', 'log_freq_600s', 'recent_over_lifetime', 'interval_trend', 'burstiness', 'log_fan_out', 'log_branch_diversity']"
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,1,pi1,/home/ubuntu/Desktop/persistent-kv-admission/results/onpolicy_full_feb30eb_001/models/learned/conversation_trace__l1_0.0025__l2x_1__binary__seed_1/pi1.json,db0ff0a8252925757b04d872115767bb42f934de591626a033580fa81a42090c,False,0,persistent-kv-admission-ranker-v1,LogisticRanker,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",0.01,True,"[1.6203621911032995, -3.458254692275524, 8.927462434631984, 5.595092291874885, 0.02432094695911277, 0.09894666666666667, 4.136687185282708, 3.9727633120965957, 2.903080704172545, 0.4528423849505235, 4.020661445627213, 3.082630009489854, 2.631234364224275, 2.0439615094971657, 0.11375836360931396, 0.5527322570006052, 1.2557941912349064, 1.5128776330367724, 0.9031993543510636, -0.11602574955126463, -0.3717028943598992, 0.7991788792093595, 1.6026194554829598]","[0.5556764846600173, 0.9463599459703483, 1.0660796157224843, 1.2892597571592281, 0.04818656937523311, 0.2985903947253197, 1.4828278434834614, 1.4474099133137874, 1.9119135325635694, 0.3684994800738971, 1.520702192591925, 2.00078402442113, 2.2694805734579577, 2.289169704172213, 0.2568861707888817, 0.3399595570802362, 0.3715457692971812, 0.46036711964869326, 0.17214660882957605, 0.5748045961083054, 0.3578885641538276, 0.23246087807088087, 0.5518477408369571]","[0.1523915498889368, 0.31225630862167075, 0.07243639668405082, 0.0677169053867646, -0.22037832948472216, -0.07337825571999108, 0.0188754322579111, -0.08319714232179216, -0.39545854577669887, 0.7626530566121761, 0.030633543018834627, -0.10625979478921625, 0.046065937168373684, 0.008381958242962378, -0.1893881618615561, 0.16968881989156012, -0.19912030078807372, 0.25380788791613235, -0.06776622422680963, 0.032350494418900644, 0.17485356841805533, -0.00402973087740402, -0.06063847993432044]",0.4653267352293231,True,5,,"['log_frequency', 'neg_log_recency', 'log_prefix_tokens', 'log_age', 'log_reuse_rate', 'single_occurrence', 'log_mean_interval', 'log_median_interval', 'log_std_interval', 'interval_cv', 'log_interval_lag1', 'log_interval_lag2', 'log_interval_lag3', 'log_interval_lag4', 'log_freq_10s', 'log_freq_60s', 'log_freq_300s', 'log_freq_600s', 'recent_over_lifetime', 'interval_trend', 'burstiness', 'log_fan_out', 'log_branch_diversity']"
