trace,l1_fraction,l2_multiplier,cell,target,seed,terminal_common_population_ranking_delta,fit_population_ranking_delta,own_policy_test_ranking_delta,pi3_fit_population_ranking,pi3_terminal_train_ranking,pi3_test_ranking,pi0_test_ranking,input_token_points_vs_pi0,pi3_test_constant_label_share,pi3_test_population_cap_bound
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,-0.15341382924774966,0.05169471237019391,-0.07453788402775562,0.34125257731170083,0.3383272330549302,-0.022207468990314796,0.05233041503744082,-0.7834446960772626,0.0,True
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,-0.16059667623760818,0.04876246070093354,-0.07015457385467602,0.33437369945303724,0.33585725647701453,-0.024019971396163724,0.0461346024585123,-0.8627608705351902,0.0,True
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,-0.16452714868769727,0.04141760063306282,-0.06777854319185596,0.3408995753318303,0.3367114113451172,-0.025449258818591797,0.04232928437326416,-0.8479435632188741,2.5e-05,True
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,-0.13318988445251526,0.04194264854387503,-0.050319355277690464,0.33874020999414806,0.3394224948614652,-0.0028129146524586844,0.04750644062523178,-0.8368356897998757,0.0,True
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,-0.17853521648759652,0.04024140945958998,-0.0853590577958784,0.33849464872777824,0.34341989992867816,-0.04456062336503207,0.04079843443084633,-0.6832099701139474,0.0,True
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,-0.2041045772458292,0.1879120646208452,-0.21135439385473542,0.7970101512422797,0.659782661357374,0.36347081382765534,0.5748252076823908,-0.9361051798660917,0.000125,True
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,-0.16086255743213623,0.1815119050450683,-0.22513318861628367,0.798993612783348,0.6522938315595159,0.35144575688005025,0.5765789454963339,-0.8759643442881025,0.0001,True
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,-0.19314025576371802,0.18633002451205405,-0.20436744141330127,0.7940422086207974,0.6600256886440802,0.37269701025585017,0.5770644516691514,-0.9631249755605505,0.0002,True
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,-0.1870355237103587,0.19063721954279622,-0.20091751616173747,0.7947681902687639,0.6605548193848272,0.3747160794321007,0.5756335955938382,-0.9439496366806119,0.0002,True
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,-0.20762372401524676,0.19245498666376393,-0.21256388460406384,0.7987844931724791,0.6542109258118128,0.36256159430966606,0.5751254789137299,-0.9099569904843573,5e-05,True
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",next_use,0,-0.12209530196384254,0.017176132473220834,-0.08341976714181025,0.24444070924857375,0.24618676527193767,0.0935044819922156,0.17692424913402585,-0.7008872356438908,0.0,True
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",next_use,1,-0.129220628328638,0.014277541809485289,-0.08212379220367776,0.24054679205290572,0.24264183449720075,0.0952936782251491,0.17741747042882686,-0.45073962860412403,0.0,True
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",next_use,2,-0.11351782710231305,0.010299702567921815,-0.07786926493452033,0.2347800940865864,0.2397912052341299,0.09846725111354772,0.17633651604806805,-0.713964735046917,0.0,True
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",next_use,3,-0.14251505457494684,0.017529028486005266,-0.09460997909779444,0.24644672887633665,0.24160122580005583,0.08227716288627056,0.176887141984065,-0.5924148086116815,2.5e-05,True
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",next_use,4,-0.13092801350366615,0.010405273577426044,-0.09180324745485258,0.23923352057804476,0.24695067610930324,0.08837735768832994,0.18018060514318252,-0.5549357371645288,0.0,True
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",binary,0,-0.09544763598450878,0.08339116084409004,-0.04685753949078075,0.6837169919428846,0.6404748086652657,0.569385952193413,0.6162434916841938,-1.8652375092303874,2.5e-05,True
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",binary,1,-0.08905416502768071,0.0850348302725572,-0.049342262139009496,0.682810591756291,0.643939304371416,0.5676747500502969,0.6170170121893064,-1.9114326438047848,0.0,True
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",binary,2,-0.10446101119470719,0.084815507388876,-0.055749365300347575,0.6841385722787305,0.6446565869068009,0.5618147388024164,0.617564104102764,-1.8756967849830812,5e-05,True
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",binary,3,-0.09039964859792993,0.08302623826181443,-0.04592066612251644,0.6793152243535103,0.6479446969006601,0.5699773336559274,0.6158979997784438,-2.0613489295933953,0.0,True
conversation_trace,0.0025,4.0,"l1=0.0025,l2x4",binary,4,-0.0972190568795328,0.08711066999876538,-0.05306785013424686,0.6815788717965162,0.6451105931863559,0.5649413778252936,0.6180092279595405,-1.9890056056372636,2.5e-05,True
conversation_trace,0.01,1.0,"l1=0.01,l2x1",next_use,0,-0.06692829846919661,0.036865949229727885,-0.04465928701306475,0.2191248080710839,0.21150226548981763,0.11467256738496016,0.1593318543980249,-0.693618175184255,0.0,True
conversation_trace,0.01,1.0,"l1=0.01,l2x1",next_use,1,-0.060489824169567066,0.033787619810027036,-0.036343514788816964,0.21789718478061873,0.214439545692331,0.12470532471197522,0.16104883950079218,-0.6648381433035517,2.5e-05,True
conversation_trace,0.01,1.0,"l1=0.01,l2x1",next_use,2,-0.05439734154340352,0.032153148884990074,-0.038020000880651064,0.212660289219539,0.21114496360267915,0.12074679547597912,0.15876679635663019,-0.6167261557835922,0.0,True
conversation_trace,0.01,1.0,"l1=0.01,l2x1",next_use,3,-0.048650957435562955,0.037448201949322996,-0.03655580413452582,0.21892079129475503,0.21548390953949165,0.123476972279552,0.16003277641407782,-0.7267426197799443,0.0,True
conversation_trace,0.01,1.0,"l1=0.01,l2x1",next_use,4,-0.06446619344971297,0.03192948069063253,-0.04590935493855414,0.21450313428244652,0.21121366959847016,0.1140564155251409,0.15996577046369503,-0.7016686170843996,2.5e-05,True
