trace,l1_fraction,l2_multiplier,cell,target,seed,arm,variant,requested_tokens,measured_requests,l1_avoided_tokens,l2_avoided_tokens,avoided_prefill_tokens,l2_present_unusable_tokens,attribution_measured_requests,fully_served_requests,beyond_prefix_tokens,beyond_prefix_blocks,l2_hit_tokens,l2_hit_blocks_checked,downstream_absent_tokens,downstream_absent_blocks,unexplained_states,unexplained_after_promotion,root_rejected_tokens,root_rejected_blocks,unusable_after_rejected_tokens,unusable_after_rejected_blocks,absent_rejected_tokens,absent_rejected_blocks,downstream_rejected_tokens,downstream_rejected_blocks,root_evicted_tokens,root_evicted_blocks,unusable_after_evicted_tokens,unusable_after_evicted_blocks,absent_evicted_tokens,absent_evicted_blocks,downstream_evicted_tokens,downstream_evicted_blocks,root_compulsory_tokens,root_compulsory_blocks,unusable_after_compulsory_tokens,unusable_after_compulsory_blocks,absent_compulsory_tokens,absent_compulsory_blocks,downstream_compulsory_tokens,downstream_compulsory_blocks,root_unexplained_tokens,root_unexplained_blocks,unusable_after_unexplained_tokens,unusable_after_unexplained_blocks,absent_unexplained_tokens,absent_unexplained_blocks,downstream_unexplained_tokens,downstream_unexplained_blocks,root_loss_tokens,unusable_tokens,decision_loss_tokens,absent_loss_tokens,perblock_decision_loss_tokens,removal_rejections,removal_rejections_window,removal_promotions,resident_evictions,resident_evictions_window,evictions_with_orphans,evictions_with_orphans_window,share_evictions_with_orphans,share_evictions_with_orphans_window,orphaned_blocks,orphaned_blocks_window,orphaned_bytes,orphaned_bytes_window,orphaned_blocks_per_eviction
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,B,all,58742117,5183,2662942,437248,3100190,442880,5183,3,56079175,111981,437248,854,52613424,105082,0,0,0,0,0,0,0,0,0,0,1095111,2143,442880,865,20160419,39403,19065308,37260,1490512,3037,0,0,35038628,70859,33548116,67822,0,0,0,0,0,0,0,0,2585623,442880,1537991,55199047,20603299,0,0,5732,269658,110256,112907,45903,0.4187044330225693,0.41633108402263824,286494,115464,298294071296,120194613248,1.0624346394321695
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,B,all,58742117,5183,2662942,419328,3082270,437248,5183,3,56079175,111981,419328,819,52637306,105128,0,0,0,0,0,0,0,0,0,0,1094399,2141,437248,854,20183971,39449,19089572,37308,1490894,3039,0,0,35038628,70859,33547734,67820,0,0,0,0,0,0,0,0,2585293,437248,1531647,55222599,20621219,0,0,5682,269708,110302,112941,46002,0.4187528734779836,0.41705499446972855,284630,114982,296289904640,119670806528,1.0553265012532071
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,B,all,58742117,5183,2662942,448000,3110942,412160,5183,3,56079175,111981,448000,875,52633446,105121,0,0,0,0,0,0,0,0,0,0,1094391,2141,412160,805,20180387,39442,19085996,37301,1491178,3039,0,0,35038628,70859,33547450,67820,0,0,0,0,0,0,0,0,2585569,412160,1506551,55219015,20592547,0,0,5687,269703,110294,112696,45927,0.4178522300456428,0.41640524416559377,283188,113987,294799462400,118619885568,1.0499994438326603
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,B,all,58742117,5183,2662942,448512,3111454,424448,5183,3,56079175,111981,448512,876,52620663,105096,0,0,0,0,0,0,0,0,0,0,1095111,2143,424448,829,20167587,39417,19072476,37274,1490441,3037,0,0,35038628,70859,33548187,67822,0,0,0,0,0,0,0,0,2585552,424448,1519559,55206215,20592035,0,0,5726,269664,110269,113123,46029,0.41949611368221196,0.41742466150958113,285103,114777,296856489984,119467358208,1.057252729322416
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,B,all,58742117,5183,2662942,437248,3100190,432640,5183,3,56079175,111981,437248,854,52623408,105102,0,0,0,0,0,0,0,0,0,0,1095415,2143,432640,845,20170659,39423,19075244,37280,1490464,3037,0,0,35038628,70859,33548164,67822,0,0,0,0,0,0,0,0,2585879,432640,1528055,55209287,20603299,0,0,5685,269705,110275,112724,45958,0.4179529485919801,0.4167581047381546,284153,114418,295849263104,119071821824,1.0535696409039506
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,B,direct_child,58742117,5183,2662942,463360,3126302,444928,5183,3,56079175,111981,463360,905,52585439,105027,0,0,119075,235,0,0,5214765,10199,5095690,9964,975828,1907,444928,869,14917494,29149,13941666,27242,1490545,3038,0,0,35038628,70859,33548083,67821,0,0,0,0,0,0,0,0,2585448,444928,1539831,55170887,20577187,96493,40335,5841,173056,69865,74025,29839,0.42775171042899407,0.4270951120017176,194088,77758,202551140352,81127432192,1.1215329142011834
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,B,direct_child,58742117,5183,2662942,471552,3134494,423424,5183,3,56079175,111981,471552,921,52598980,105053,0,0,139955,276,0,0,5219669,10207,5079714,9931,953924,1864,423424,827,14925902,29167,13971978,27303,1491340,3040,0,0,35038628,70859,33547288,67819,0,0,0,0,0,0,0,0,2585219,423424,1517303,55184199,20568995,97155,39740,5826,172409,70486,73599,30156,0.42688606743267465,0.42782963992849643,193409,79212,201838712832,82681217024,1.1218033861341346
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,B,direct_child,58742117,5183,2662942,463360,3126302,455168,5183,3,56079175,111981,463360,905,52575524,105007,0,0,127168,251,0,0,5266174,10299,5139006,10048,967930,1892,455168,889,14855845,29029,13887915,27137,1490025,3037,0,0,35038628,70859,33548603,67822,0,0,0,0,0,0,0,0,2585123,455168,1550266,55160647,20577187,94393,39971,5867,175130,70210,74958,30031,0.4280134757037629,0.42773109243697477,197464,79031,206106943488,82485893120,1.1275281219665392
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,B,direct_child,58742117,5183,2662942,473600,3136542,423424,5183,3,56079175,111981,473600,925,52596609,105049,0,0,127488,252,0,0,5427377,10613,5299889,10361,967111,1890,423424,827,14716146,28757,13749035,26867,1490943,3038,0,0,35038628,70859,33547685,67821,0,0,0,0,0,0,0,0,2585542,423424,1518023,55182151,20566947,95132,40464,5832,174426,69759,74558,29815,0.4274477428823685,0.42740004873923076,195871,78244,204478242816,81700200448,1.1229461204178277
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,B,direct_child,58742117,5183,2662942,462848,3125790,430080,5183,3,56079175,111981,462848,904,52600512,105057,0,0,142279,281,0,0,5250714,10268,5108435,9987,953344,1863,430080,840,14896905,29110,13943561,27247,1490112,3036,0,0,35038628,70859,33548516,67823,0,0,0,0,0,0,0,0,2585735,430080,1525703,55186247,20577699,95953,40378,5819,173618,69853,74252,29891,0.427674549873861,0.4279129028101871,194705,78407,203206264832,81823467520,1.1214563006139917
