trace,target,population,cell,l1_fraction,horizon_seconds,split_ms,train_rows,train_positives,population_rows,train_pool_rows,victim_artifact,victim_artifact_sha256,max_coefficient_deviation,reference_matched,seconds
conversation_trace,next_use,B,l1=0.0025,0.0025,600.0,2122199.4,118656,39759,275832,118656,results/decision_population/logs/victims_conversation_trace_0.0025.npz,12b8080a9d562001707eb48dc982dc796e9c0cc1697eeab0b75623c0ad5085f2,0.0,True,0.04305005073547363
conversation_trace,binary,B,l1=0.0025,0.0025,600.0,2122199.4,118656,39763,275832,118656,results/decision_population/logs/victims_conversation_trace_0.0025.npz,12b8080a9d562001707eb48dc982dc796e9c0cc1697eeab0b75623c0ad5085f2,0.0,True,0.06876611709594727
conversation_trace,next_use,B,l1=0.01,0.01,600.0,2122199.4,116048,38608,271289,116048,results/decision_population/logs/victims_conversation_trace_0.01.npz,3519c31085bd38e0e7a989d43ca761460c5dcae65aa75a1558b2fbe8796bccd1,0.0,True,0.030944108963012695
conversation_trace,binary,B,l1=0.01,0.01,600.0,2122199.4,116048,38627,271289,116048,results/decision_population/logs/victims_conversation_trace_0.01.npz,3519c31085bd38e0e7a989d43ca761460c5dcae65aa75a1558b2fbe8796bccd1,0.0,True,0.07151556015014648
conversation_trace,next_use,B,l1=0.02,0.02,600.0,2122199.4,110568,34850,261582,110568,results/decision_population/logs/victims_conversation_trace_0.02.npz,545d87a8dd57a9d20f79eb147ea9d61f93dbe3fae9af95b7cfbe9ab32d5b227d,0.0,True,0.024160385131835938
conversation_trace,binary,B,l1=0.02,0.02,600.0,2122199.4,110568,34979,261582,110568,results/decision_population/logs/victims_conversation_trace_0.02.npz,545d87a8dd57a9d20f79eb147ea9d61f93dbe3fae9af95b7cfbe9ab32d5b227d,0.0,True,0.06050300598144531
toolagent_trace,next_use,B,l1=0.0025,0.0025,600.0,2122199.4,116597,39336,271080,116597,results/decision_population/logs/victims_toolagent_trace_0.0025.npz,effca67a0f03f21d38d982877601e484a3f4c5978c709ea63d93086c260605ae,0.0,True,0.02590489387512207
toolagent_trace,binary,B,l1=0.0025,0.0025,600.0,2122199.4,116597,39347,271080,116597,results/decision_population/logs/victims_toolagent_trace_0.0025.npz,effca67a0f03f21d38d982877601e484a3f4c5978c709ea63d93086c260605ae,0.0,True,0.07248640060424805
toolagent_trace,next_use,B,l1=0.01,0.01,600.0,2122199.4,113621,37442,265705,113621,results/decision_population/logs/victims_toolagent_trace_0.01.npz,ad4632ffce00ec63990bbb65ec373bff1b3378983e4cd8234af46b4c4f576d1b,0.0,True,0.022830724716186523
toolagent_trace,binary,B,l1=0.01,0.01,600.0,2122199.4,113621,37442,265705,113621,results/decision_population/logs/victims_toolagent_trace_0.01.npz,ad4632ffce00ec63990bbb65ec373bff1b3378983e4cd8234af46b4c4f576d1b,0.0,True,0.05551743507385254
toolagent_trace,next_use,B,l1=0.02,0.02,600.0,2122199.4,108213,33594,255969,108213,results/decision_population/logs/victims_toolagent_trace_0.02.npz,8aeed3f5230058926e8e6a780c56168f6dc85472bedc90382868eae286694223,0.0,True,0.023865222930908203
toolagent_trace,binary,B,l1=0.02,0.02,600.0,2122199.4,108213,33725,255969,108213,results/decision_population/logs/victims_toolagent_trace_0.02.npz,8aeed3f5230058926e8e6a780c56168f6dc85472bedc90382868eae286694223,0.0,True,0.05607438087463379
