trace,l1_fraction,l2_multiplier,cell,target,left_variant,right_variant,comparison,seeds,requested_tokens,measured_requests,best_heap_arm,best_heap_avoided_tokens,best_sampled_arm,offline_avoided_tokens,left_avoided_tokens_mean,left_avoided_tokens_std,left_avoided_tokens_ci95_half,left_avoided_tokens_seed_min,left_avoided_tokens_seed_max,right_avoided_tokens_mean,right_avoided_tokens_std,right_avoided_tokens_ci95_half,right_avoided_tokens_seed_min,right_avoided_tokens_seed_max,saved_requests_mean,saved_requests_std,saved_requests_ci95_half,saved_requests_seed_min,saved_requests_seed_max,lost_requests_mean,lost_requests_std,lost_requests_ci95_half,lost_requests_seed_min,lost_requests_seed_max,unchanged_requests_mean,unchanged_requests_std,unchanged_requests_ci95_half,unchanged_requests_seed_min,unchanged_requests_seed_max,differing_requests_mean,differing_requests_std,differing_requests_ci95_half,differing_requests_seed_min,differing_requests_seed_max,saved_tokens_mean,saved_tokens_std,saved_tokens_ci95_half,saved_tokens_seed_min,saved_tokens_seed_max,lost_tokens_mean,lost_tokens_std,lost_tokens_ci95_half,lost_tokens_seed_min,lost_tokens_seed_max,net_avoided_tokens_mean,net_avoided_tokens_std,net_avoided_tokens_ci95_half,net_avoided_tokens_seed_min,net_avoided_tokens_seed_max,net_fraction_of_input_mean,net_fraction_of_input_std,net_fraction_of_input_ci95_half,net_fraction_of_input_seed_min,net_fraction_of_input_seed_max,net_input_percentage_points_mean,net_input_percentage_points_std,net_input_percentage_points_ci95_half,net_input_percentage_points_seed_min,net_input_percentage_points_seed_max,left_delta_vs_best_heap_tokens_mean,left_delta_vs_best_heap_tokens_std,left_delta_vs_best_heap_tokens_ci95_half,left_delta_vs_best_heap_tokens_seed_min,left_delta_vs_best_heap_tokens_seed_max,left_delta_vs_best_sampled_tokens_mean,left_delta_vs_best_sampled_tokens_std,left_delta_vs_best_sampled_tokens_ci95_half,left_delta_vs_best_sampled_tokens_seed_min,left_delta_vs_best_sampled_tokens_seed_max,best_sampled_avoided_tokens_mean,best_sampled_avoided_tokens_std,best_sampled_avoided_tokens_ci95_half,best_sampled_avoided_tokens_seed_min,best_sampled_avoided_tokens_seed_max,all_seeds_positive,all_seeds_negative,mixed_or_zero_seed_sign
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,all,none,all-none,5,58742117,5183,lfu,3672801,lfu_s,7613350,3101009.2,11834.844282879263,14692.544260665672,3082270.0,3111454.0,3213342.0,9768.337422509523,12127.048442957715,3202590.0,3228190.0,12.4,3.1304951684997055,3.8863999999999996,9.0,17.0,63.2,6.300793600809346,7.822214356561701,55.0,69.0,5107.4,3.7815340802378077,4.694641984219883,5104.0,5112.0,75.6,3.7815340802378072,4.694641984219882,71.0,79.0,11366.4,4134.221667980564,5132.4912595664255,8192.0,18432.0,123699.2,5389.392841498939,6690.742266578727,115200.0,128512.0,-112332.8,9389.303871959837,11656.491578446638,-120320.0,-96768.0,-0.001912304250117509,0.00015983938529079295,0.0001984349930467545,-0.0020482748349025283,-0.0016473359310492674,-0.19123042501175094,0.01598393852907929,0.019843499304675445,-0.20482748349025282,-0.16473359310492675,-571791.8,11834.844282879263,14692.544260665672,-590531.0,-561347.0,-200372.4,28963.294223896562,35956.914357960035,-233667.0,-168448.0,3301381.6,30246.84942766767,37550.40314341845,3268638.0,3345121.0,False,True,False
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,direct_child,all,direct_child-all,5,58742117,5183,lfu,3672801,lfu_s,7613350,3129886.0,5196.232481327216,6450.940451413761,3125790.0,3136542.0,3101009.2,11834.844282879263,14692.544260665672,3082270.0,3111454.0,41.4,5.458937625582473,6.777079677855352,34.0,47.0,23.4,4.505552130427524,5.593485010259703,16.0,28.0,5118.2,3.5637059362410923,4.424215980261361,5113.0,5121.0,64.8,3.5637059362410923,4.424215980261361,62.0,70.0,61542.4,5399.112223319682,6702.808538358421,56320.0,70656.0,32665.6,9540.251401299653,11843.887644068873,18432.0,45056.0,28876.8,13788.873891656272,17118.40351384908,15360.0,52224.0,0.0004915859603766068,0.00023473573299471437,0.00029141618293819884,0.000261481893817344,0.0008890384389789697,0.04915859603766068,0.02347357329947144,0.029141618293819886,0.026148189381734403,0.08890384389789698,-542915.0,5196.232481327216,6450.940451413761,-547011.0,-536259.0,-171495.6,27470.934681950665,34104.20230710639,-208579.0,-142336.0,3301381.6,30246.84942766767,37550.40314341845,3268638.0,3345121.0,True,False,False
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,direct_child,none,direct_child-none,5,58742117,5183,lfu,3672801,lfu_s,7613350,3129886.0,5196.232481327216,6450.940451413761,3125790.0,3136542.0,3213342.0,9768.337422509523,12127.048442957715,3202590.0,3228190.0,18.6,3.507135583350036,4.353985870441014,15.0,24.0,52.8,5.585696017507576,6.934445777421581,47.0,62.0,5111.6,6.580273550544841,8.169178915900911,5104.0,5121.0,71.4,6.580273550544841,8.169178915900911,62.0,79.0,19968.0,2048.0,2542.5201993889445,18432.0,23552.0,103424.0,12907.072169938463,16023.677591327849,87552.0,120832.0,-83456.0,13857.145449189742,17203.160259001714,-101888.0,-68096.0,-0.0014207182897409026,0.0002358979580049821,0.000292859044542125,-0.0017344965623217155,-0.0011592363959235586,-0.14207182897409026,0.023589795800498206,0.029285904454212492,-0.17344965623217154,-0.11592363959235585,-542915.0,5196.232481327216,6450.940451413761,-547011.0,-536259.0,-171495.6,27470.934681950665,34104.20230710639,-208579.0,-142336.0,3301381.6,30246.84942766767,37550.40314341845,3268638.0,3345121.0,False,True,False
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,all,none,all-none,5,58742117,5183,lfu,3672801,lfu_s,7613350,3362529.0,13153.518160553092,16329.631648552517,3346657.0,3376353.0,3475949.2,11223.072315547111,13933.050811270208,3456542.0,3485409.0,13.2,3.63318042491699,4.510466122253884,8.0,18.0,56.4,6.767569726275452,8.401700551674047,50.0,67.0,5113.4,3.9749213828703582,4.934725540493615,5108.0,5119.0,69.6,3.974921382870358,4.934725540493615,64.0,75.0,10995.8,2771.4617442786393,3440.672591143632,7680.0,13824.0,124416.0,12952.689296049683,16080.309654109027,110080.0,144896.0,-113420.2,12547.998414089796,15577.900112169798,-132608.0,-101693.0,-0.0019308156701264272,0.0002136116138628404,0.000265191329624191,-0.0022574603499564035,-0.0017311769679666125,-0.19308156701264273,0.021361161386284043,0.026519132962419107,-0.22574603499564036,-0.17311769679666125,-310272.0,13153.518160553092,16329.631648552517,-326144.0,-296448.0,61147.4,27694.947920153234,34382.306888678926,30720.0,93891.0,3301381.6,30246.84942766767,37550.40314341845,3268638.0,3345121.0,False,True,False
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,direct_child,all,direct_child-all,5,58742117,5183,lfu,3672801,lfu_s,7613350,3391508.2,19035.799200453865,23632.277333332946,3360993.0,3411681.0,3362529.0,13153.518160553092,16329.631648552517,3346657.0,3376353.0,37.8,6.300793600809346,7.822214356561701,31.0,47.0,20.4,4.03732584763727,5.012198495670337,16.0,24.0,5124.8,6.760177512462229,8.392523377387755,5119.0,5136.0,58.2,6.760177512462228,8.392523377387755,47.0,64.0,58880.0,7873.820927605606,9775.07263418391,51200.0,70144.0,29900.8,8931.428732291379,11088.055645143371,17408.0,38400.0,28979.2,15100.094410300884,18746.23781780766,14336.0,52736.0,0.0004933291730020557,0.00025705737521003686,0.0003191277191764754,0.00024404976756285443,0.0008977545021062145,0.04933291730020558,0.025705737521003687,0.03191277191764754,0.024404976756285442,0.08977545021062146,-281292.8,19035.799200453865,23632.277333332946,-311808.0,-261120.0,90126.6,30896.13406722595,38356.467260229925,50176.0,120003.0,3301381.6,30246.84942766767,37550.40314341845,3268638.0,3345121.0,True,False,False
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,direct_child,none,direct_child-none,5,58742117,5183,lfu,3672801,lfu_s,7613350,3391508.2,19035.799200453865,23632.277333332946,3360993.0,3411681.0,3475949.2,11223.072315547111,13933.050811270208,3456542.0,3485409.0,18.0,1.4142135623730951,1.755696556925484,16.0,19.0,49.6,2.701851217221259,3.354253562269853,45.0,52.0,5115.4,3.9749213828703582,4.934725540493615,5112.0,5122.0,67.6,3.974921382870358,4.934725540493615,61.0,71.0,18471.0,4791.424527215262,5948.385568502162,14336.0,26624.0,102912.0,20941.98920828678,25998.745399147672,83968.0,135168.0,-84441.0,21268.795287932975,26404.463689569333,-118272.0,-66048.0,-0.0014374864971243716,0.0003620706296290441,0.00044949799288931534,-0.002013410582393549,-0.0011243721434145793,-0.14374864971243714,0.03620706296290442,0.04494979928893155,-0.20134105823935491,-0.11243721434145794,-281292.8,19035.799200453865,23632.277333332946,-311808.0,-261120.0,90126.6,30896.13406722595,38356.467260229925,50176.0,120003.0,3301381.6,30246.84942766767,37550.40314341845,3268638.0,3345121.0,False,True,False
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,all,none,all-none,5,58742117,5183,lru_2hit,12670365,lru_2hit_s,23441857,11605928.8,32926.448908134626,40877.03195462908,11566837.0,11651855.0,11707553.6,17029.359230458438,21141.352454146072,11686764.0,11727401.0,169.4,11.126544836560898,13.813215330255296,158.0,184.0,193.0,14.230249470757707,17.6663558211647,181.0,209.0,4820.6,13.164345787011218,16.34307376719569,4805.0,4840.0,362.4,13.164345787011218,16.34307376719569,343.0,378.0,263050.6,23702.778335039122,29426.16830980255,239834.0,298400.0,364675.4,23104.39357135348,28683.2946043937,334833.0,395776.0,-101624.8,35367.78064425304,43907.85971463413,-155942.0,-71776.0,-0.001730015961120366,0.0006020855639958132,0.0007474681192479688,-0.0026546881175562673,-0.0012218830996506306,-0.17300159611203658,0.0602085563995813,0.07474681192479685,-0.2654688117556267,-0.12218830996506305,-1064436.2,32926.448908134626,40877.03195462908,-1103528.0,-1018510.0,-427615.4,54052.33396718406,67104.07760531378,-500369.0,-368077.0,12033544.2,49581.91270211346,61554.20633274549,11981725.0,12115357.0,False,True,False
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,direct_child,all,direct_child-all,5,58742117,5183,lru_2hit,12670365,lru_2hit_s,23441857,11657467.0,49682.83093786021,61679.492784343536,11603582.0,11720410.0,11605928.8,32926.448908134626,40877.03195462908,11566837.0,11651855.0,189.6,5.856620185738529,7.270788633979123,180.0,194.0,174.2,14.377065069060514,17.848622239265413,157.0,197.0,4819.2,9.47100839404126,11.757924878140699,4806.0,4832.0,363.8,9.47100839404126,11.757924878140699,351.0,377.0,338362.6,36502.68922011089,45316.80892292433,300306.0,393283.0,286824.4,42426.581942221084,52671.11405230827,233572.0,345362.0,51538.2,22512.627294476315,27948.63751832076,21266.0,78221.0,0.0008773636809854843,0.00038324507941169894,0.00047578532994173084,0.00036202304387497646,0.0013315999489769835,0.08773636809854846,0.03832450794116991,0.0475785329941731,0.03620230438749764,0.13315999489769836,-1012898.0,49682.83093786021,61679.492784343536,-1066783.0,-949955.0,-376077.2,71547.86767752063,88824.16933266775,-458641.0,-289856.0,12033544.2,49581.91270211346,61554.20633274549,11981725.0,12115357.0,True,False,False
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,direct_child,none,direct_child-none,5,58742117,5183,lru_2hit,12670365,lru_2hit_s,23441857,11657467.0,49682.83093786021,61679.492784343536,11603582.0,11720410.0,11707553.6,17029.359230458438,21141.352454146072,11686764.0,11727401.0,176.6,11.1265448365609,13.813215330255296,168.0,196.0,183.6,14.587666023048376,18.110075940205217,164.0,202.0,4822.8,10.353743284435827,12.853809296858264,4807.0,4836.0,360.2,10.35374328443583,12.853809296858268,347.0,376.0,280126.8,17334.210212755585,21519.814260930278,250042.0,291939.0,330213.4,41314.30851170088,51290.26558339165,293580.0,388608.0,-50086.6,48727.842413757666,60493.90801250987,-108021.0,-6991.0,-0.0008526522801348817,0.0008295213877592744,0.0010298217208022972,-0.0018389020606799037,-0.00011901171352064142,-0.08526522801348817,0.08295213877592743,0.10298217208022968,-0.18389020606799036,-0.011901171352064142,-1012898.0,49682.83093786021,61679.492784343536,-1066783.0,-949955.0,-376077.2,71547.86767752063,88824.16933266775,-458641.0,-289856.0,12033544.2,49581.91270211346,61554.20633274549,11981725.0,12115357.0,False,True,False
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,all,none,all-none,5,58742117,5183,lru_2hit,12670365,lru_2hit_s,23441857,11752493.4,56278.56976505356,69867.87129900811,11695638.0,11829870.0,11795203.0,56965.136649533284,70720.22001581536,11732340.0,11887320.0,217.4,7.987490219086344,9.91618907443782,207.0,226.0,216.8,7.259476565152614,9.012385646431246,208.0,227.0,4748.8,9.782637681116478,12.144801712667027,4738.0,4759.0,434.2,9.78263768111648,12.144801712667029,424.0,445.0,422719.2,25212.293205894617,31300.17810005064,394396.0,463360.0,465428.8,76789.8959284358,95331.96362647602,385753.0,577536.0,-42709.6,83535.73510959247,103706.68646823394,-183140.0,31421.0,-0.0007270694721472161,0.0014220756652265777,0.001765457081981467,-0.0031176949240695564,0.0005348973037522635,-0.07270694721472158,0.14220756652265779,0.17654570819814672,-0.3117694924069556,0.05348973037522635,-917871.6,56278.56976505356,69867.87129900811,-974727.0,-840495.0,-281050.8,85584.7032664132,106250.40860037331,-419719.0,-186695.0,12033544.2,49581.91270211346,61554.20633274549,11981725.0,12115357.0,False,False,True
