trace,l1_fraction,l2_multiplier,cell,target,seed,left_variant,right_variant,comparison,measured_requests,requested_tokens,left_avoided_tokens,right_avoided_tokens,saved_requests,lost_requests,unchanged_requests,differing_requests,saved_tokens,lost_tokens,net_avoided_tokens,net_fraction_of_input,net_input_percentage_points,best_heap_arm,best_heap_avoided_tokens,left_delta_vs_best_heap_tokens,best_sampled_arm,best_sampled_avoided_tokens,left_delta_vs_best_sampled_tokens,offline_avoided_tokens
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,direct_child,none,direct_child-none,5183,58742117,3126302,3216926,24,51,5108,75,19456,110080,-90624,-0.0015427431735223298,-0.154274317352233,lfu,3672801,-546499,lfu_s,3268638,-142336,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,direct_child,none,direct_child-none,5183,58742117,3134494,3202590,15,47,5121,62,19456,87552,-68096,-0.0011592363959235586,-0.11592363959235585,lfu,3672801,-538307,lfu_s,3293409,-158915,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,direct_child,none,direct_child-none,5183,58742117,3126302,3228190,20,53,5110,73,18944,120832,-101888,-0.0017344965623217155,-0.17344965623217154,lfu,3672801,-546499,lfu_s,3282462,-156160,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,direct_child,none,direct_child-none,5183,58742117,3136542,3208222,17,51,5115,68,23552,95232,-71680,-0.0012202488378142721,-0.12202488378142722,lfu,3672801,-536259,lfu_s,3345121,-208579,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,direct_child,none,direct_child-none,5183,58742117,3125790,3210782,17,62,5104,79,18432,103424,-84992,-0.001446866479122637,-0.1446866479122637,lfu,3672801,-547011,lfu_s,3317278,-191488,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,all,none,all-none,5183,58742117,3100190,3216926,13,58,5112,71,8704,125440,-116736,-0.0019872623930118146,-0.19872623930118147,lfu,3672801,-572611,lfu_s,3268638,-168448,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,all,none,all-none,5183,58742117,3082270,3202590,9,69,5105,78,8192,128512,-120320,-0.0020482748349025283,-0.20482748349025282,lfu,3672801,-590531,lfu_s,3293409,-211139,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,all,none,all-none,5183,58742117,3110942,3228190,13,66,5104,79,10240,127488,-117248,-0.0019959784561390595,-0.19959784561390595,lfu,3672801,-561859,lfu_s,3282462,-171520,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,all,none,all-none,5183,58742117,3111454,3208222,17,55,5111,72,18432,115200,-96768,-0.0016473359310492674,-0.16473359310492675,lfu,3672801,-561347,lfu_s,3345121,-233667,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,all,none,all-none,5183,58742117,3100190,3210782,10,68,5105,78,11264,121856,-110592,-0.001882669635484877,-0.1882669635484877,lfu,3672801,-572611,lfu_s,3317278,-217088,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,direct_child,all,direct_child-all,5183,58742117,3126302,3100190,42,25,5116,67,60928,34816,26112,0.00044451921948948485,0.04445192194894849,lfu,3672801,-546499,lfu_s,3268638,-142336,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,direct_child,all,direct_child-all,5183,58742117,3134494,3082270,46,16,5121,62,70656,18432,52224,0.0008890384389789697,0.08890384389789698,lfu,3672801,-538307,lfu_s,3293409,-158915,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,direct_child,all,direct_child-all,5183,58742117,3126302,3110942,47,23,5113,70,60416,45056,15360,0.000261481893817344,0.026148189381734403,lfu,3672801,-546499,lfu_s,3282462,-156160,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,direct_child,all,direct_child-all,5183,58742117,3136542,3111454,34,28,5121,62,56320,31232,25088,0.0004270870932349953,0.04270870932349952,lfu,3672801,-536259,lfu_s,3345121,-208579,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,direct_child,all,direct_child-all,5183,58742117,3125790,3100190,38,25,5120,63,59392,33792,25600,0.00043580315636224007,0.043580315636224005,lfu,3672801,-547011,lfu_s,3317278,-191488,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,direct_child,none,direct_child-none,5183,58742117,3388641,3456542,17,50,5116,67,16067,83968,-67901,-0.0011559168015684556,-0.11559168015684555,lfu,3672801,-284160,lfu_s,3268638,120003,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,direct_child,none,direct_child-none,5183,58742117,3360993,3479265,19,50,5114,69,16896,135168,-118272,-0.002013410582393549,-0.20134105823935491,lfu,3672801,-311808,lfu_s,3293409,67584,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,direct_child,none,direct_child-none,5183,58742117,3400929,3480801,16,45,5122,61,26624,106496,-79872,-0.001359705847850189,-0.1359705847850189,lfu,3672801,-271872,lfu_s,3282462,118467,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,direct_child,none,direct_child-none,5183,58742117,3395297,3485409,19,51,5113,70,14336,104448,-90112,-0.001534027110395085,-0.1534027110395085,lfu,3672801,-277504,lfu_s,3345121,50176,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,direct_child,none,direct_child-none,5183,58742117,3411681,3477729,19,52,5112,71,18432,84480,-66048,-0.0011243721434145793,-0.11243721434145794,lfu,3672801,-261120,lfu_s,3317278,94403,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,all,none,all-none,5183,58742117,3354849,3456542,12,57,5114,69,8387,110080,-101693,-0.0017311769679666125,-0.17311769679666125,lfu,3672801,-317952,lfu_s,3268638,86211,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,all,none,all-none,5183,58742117,3346657,3479265,18,51,5114,69,12288,144896,-132608,-0.0022574603499564035,-0.22574603499564036,lfu,3672801,-326144,lfu_s,3293409,53248,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,all,none,all-none,5183,58742117,3376353,3480801,14,50,5119,64,13824,118272,-104448,-0.0017780768779579394,-0.17780768779579395,lfu,3672801,-296448,lfu_s,3282462,93891,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,all,none,all-none,5183,58742117,3375841,3485409,14,57,5112,71,12800,122368,-109568,-0.0018652375092303875,-0.18652375092303874,lfu,3672801,-296960,lfu_s,3345121,30720,7613350
