trace,l1_fraction,l2_multiplier,cell,seed,kind,arm,l1_capacity_bytes,l2_capacity_bytes,requested_tokens,l1_avoided_tokens,l2_avoided_tokens,avoided_prefill_tokens,l2_present_unusable_tokens
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",0,heap,lfu,464360509,464360509,58742117,2662942,1009859,3672801,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",0,heap,lru,464360509,464360509,58742117,2662942,83283,2746225,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",0,heap,lru_2hit,464360509,464360509,58742117,2662942,307657,2970599,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",0,heap,offline_next_use,464360509,464360509,58742117,2662942,4950408,7613350,669398
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",0,sampled,lfu_s,464360509,464360509,58742117,2662942,605696,3268638,365251
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",0,sampled,lru_2hit_s,464360509,464360509,58742117,2662942,241609,2904551,75264
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",0,sampled,lru_s,464360509,464360509,58742117,2662942,68643,2731585,32768
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",1,heap,lfu,464360509,464360509,58742117,2662942,1009859,3672801,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",1,heap,lru,464360509,464360509,58742117,2662942,83283,2746225,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",1,heap,lru_2hit,464360509,464360509,58742117,2662942,307657,2970599,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",1,heap,offline_next_use,464360509,464360509,58742117,2662942,4950408,7613350,669398
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",1,sampled,lfu_s,464360509,464360509,58742117,2662942,630467,3293409,327680
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",1,sampled,lru_2hit_s,464360509,464360509,58742117,2662942,226761,2889703,96768
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",1,sampled,lru_s,464360509,464360509,58742117,2662942,63515,2726457,41472
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",2,heap,lfu,464360509,464360509,58742117,2662942,1009859,3672801,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",2,heap,lru,464360509,464360509,58742117,2662942,83283,2746225,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",2,heap,lru_2hit,464360509,464360509,58742117,2662942,307657,2970599,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",2,heap,offline_next_use,464360509,464360509,58742117,2662942,4950408,7613350,669398
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",2,sampled,lfu_s,464360509,464360509,58742117,2662942,619520,3282462,346624
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",2,sampled,lru_2hit_s,464360509,464360509,58742117,2662942,225225,2888167,92160
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",2,sampled,lru_s,464360509,464360509,58742117,2662942,75291,2738233,29184
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",3,heap,lfu,464360509,464360509,58742117,2662942,1009859,3672801,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",3,heap,lru,464360509,464360509,58742117,2662942,83283,2746225,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",3,heap,lru_2hit,464360509,464360509,58742117,2662942,307657,2970599,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",3,heap,offline_next_use,464360509,464360509,58742117,2662942,4950408,7613350,669398
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",3,sampled,lfu_s,464360509,464360509,58742117,2662942,682179,3345121,284672
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",3,sampled,lru_2hit_s,464360509,464360509,58742117,2662942,242633,2905575,80384
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",3,sampled,lru_s,464360509,464360509,58742117,2662942,66075,2729017,38912
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",4,heap,lfu,464360509,464360509,58742117,2662942,1009859,3672801,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",4,heap,lru,464360509,464360509,58742117,2662942,83283,2746225,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",4,heap,lru_2hit,464360509,464360509,58742117,2662942,307657,2970599,0
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",4,heap,offline_next_use,464360509,464360509,58742117,2662942,4950408,7613350,669398
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",4,sampled,lfu_s,464360509,464360509,58742117,2662942,654336,3317278,313027
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",4,sampled,lru_2hit_s,464360509,464360509,58742117,2662942,237513,2900455,84992
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",4,sampled,lru_s,464360509,464360509,58742117,2662942,70171,2733113,33792
conversation_trace,0.01,4.0,"l1=0.01,l2x4",0,heap,lfu,1857442038,7429768151,58742117,3218284,6249588,9467872,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",0,heap,lru,1857442038,7429768151,58742117,3218284,9087254,12305538,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",0,heap,lru_2hit,1857442038,7429768151,58742117,3218284,9452081,12670365,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",0,heap,offline_next_use,1857442038,7429768151,58742117,3218284,20223573,23441857,32768
conversation_trace,0.01,4.0,"l1=0.01,l2x4",0,sampled,lfu_s,1857442038,7429768151,58742117,3218284,5595679,8813963,981737
conversation_trace,0.01,4.0,"l1=0.01,l2x4",0,sampled,lru_2hit_s,1857442038,7429768151,58742117,3218284,8815153,12033437,688640
conversation_trace,0.01,4.0,"l1=0.01,l2x4",0,sampled,lru_s,1857442038,7429768151,58742117,3218284,7713558,10931842,1382400
conversation_trace,0.01,4.0,"l1=0.01,l2x4",1,heap,lfu,1857442038,7429768151,58742117,3218284,6249588,9467872,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",1,heap,lru,1857442038,7429768151,58742117,3218284,9087254,12305538,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",1,heap,lru_2hit,1857442038,7429768151,58742117,3218284,9452081,12670365,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",1,heap,offline_next_use,1857442038,7429768151,58742117,3218284,20223573,23441857,32768
conversation_trace,0.01,4.0,"l1=0.01,l2x4",1,sampled,lfu_s,1857442038,7429768151,58742117,3218284,5695589,8913873,906359
conversation_trace,0.01,4.0,"l1=0.01,l2x4",1,sampled,lru_2hit_s,1857442038,7429768151,58742117,3218284,8763441,11981725,738816
conversation_trace,0.01,4.0,"l1=0.01,l2x4",1,sampled,lru_s,1857442038,7429768151,58742117,3218284,7640419,10858703,1463296
conversation_trace,0.01,4.0,"l1=0.01,l2x4",2,heap,lfu,1857442038,7429768151,58742117,3218284,6249588,9467872,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",2,heap,lru,1857442038,7429768151,58742117,3218284,9087254,12305538,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",2,heap,lru_2hit,1857442038,7429768151,58742117,3218284,9452081,12670365,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",2,heap,offline_next_use,1857442038,7429768151,58742117,3218284,20223573,23441857,32768
conversation_trace,0.01,4.0,"l1=0.01,l2x4",2,sampled,lfu_s,1857442038,7429768151,58742117,3218284,5677572,8895856,877687
conversation_trace,0.01,4.0,"l1=0.01,l2x4",2,sampled,lru_2hit_s,1857442038,7429768151,58742117,3218284,8897073,12115357,591360
conversation_trace,0.01,4.0,"l1=0.01,l2x4",2,sampled,lru_s,1857442038,7429768151,58742117,3218284,7848726,11067010,1225728
conversation_trace,0.01,4.0,"l1=0.01,l2x4",3,heap,lfu,1857442038,7429768151,58742117,3218284,6249588,9467872,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",3,heap,lru,1857442038,7429768151,58742117,3218284,9087254,12305538,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",3,heap,lru_2hit,1857442038,7429768151,58742117,3218284,9452081,12670365,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",3,heap,offline_next_use,1857442038,7429768151,58742117,3218284,20223573,23441857,32768
conversation_trace,0.01,4.0,"l1=0.01,l2x4",3,sampled,lfu_s,1857442038,7429768151,58742117,3218284,5674085,8892369,932964
conversation_trace,0.01,4.0,"l1=0.01,l2x4",3,sampled,lru_2hit_s,1857442038,7429768151,58742117,3218284,8802353,12020637,675840
conversation_trace,0.01,4.0,"l1=0.01,l2x4",3,sampled,lru_s,1857442038,7429768151,58742117,3218284,7889174,11107458,1210880
conversation_trace,0.01,4.0,"l1=0.01,l2x4",4,heap,lfu,1857442038,7429768151,58742117,3218284,6249588,9467872,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",4,heap,lru,1857442038,7429768151,58742117,3218284,9087254,12305538,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",4,heap,lru_2hit,1857442038,7429768151,58742117,3218284,9452081,12670365,0
conversation_trace,0.01,4.0,"l1=0.01,l2x4",4,heap,offline_next_use,1857442038,7429768151,58742117,3218284,20223573,23441857,32768
conversation_trace,0.01,4.0,"l1=0.01,l2x4",4,sampled,lfu_s,1857442038,7429768151,58742117,3218284,5681253,8899537,908919
conversation_trace,0.01,4.0,"l1=0.01,l2x4",4,sampled,lru_2hit_s,1857442038,7429768151,58742117,3218284,8798281,12016565,704488
conversation_trace,0.01,4.0,"l1=0.01,l2x4",4,sampled,lru_s,1857442038,7429768151,58742117,3218284,7693078,10911362,1413632
conversation_trace,0.02,4.0,"l1=0.02,l2x4",0,heap,lfu,3714884076,14859536302,58742117,4770907,7946303,12717210,0
conversation_trace,0.02,4.0,"l1=0.02,l2x4",0,heap,lru,3714884076,14859536302,58742117,4770907,12662905,17433812,0
conversation_trace,0.02,4.0,"l1=0.02,l2x4",0,heap,lru_2hit,3714884076,14859536302,58742117,4770907,10189260,14960167,0
conversation_trace,0.02,4.0,"l1=0.02,l2x4",0,heap,offline_next_use,3714884076,14859536302,58742117,4770907,18932582,23703489,0
conversation_trace,0.02,4.0,"l1=0.02,l2x4",0,sampled,lfu_s,3714884076,14859536302,58742117,4770907,7237431,12008338,1348434
conversation_trace,0.02,4.0,"l1=0.02,l2x4",0,sampled,lru_2hit_s,3714884076,14859536302,58742117,4770907,10009036,14779943,161280
conversation_trace,0.02,4.0,"l1=0.02,l2x4",0,sampled,lru_s,3714884076,14859536302,58742117,4770907,11580219,16351126,1030748
conversation_trace,0.02,4.0,"l1=0.02,l2x4",1,heap,lfu,3714884076,14859536302,58742117,4770907,7946303,12717210,0
conversation_trace,0.02,4.0,"l1=0.02,l2x4",1,heap,lru,3714884076,14859536302,58742117,4770907,12662905,17433812,0
conversation_trace,0.02,4.0,"l1=0.02,l2x4",1,heap,lru_2hit,3714884076,14859536302,58742117,4770907,10189260,14960167,0
conversation_trace,0.02,4.0,"l1=0.02,l2x4",1,heap,offline_next_use,3714884076,14859536302,58742117,4770907,18932582,23703489,0
conversation_trace,0.02,4.0,"l1=0.02,l2x4",1,sampled,lfu_s,3714884076,14859536302,58742117,4770907,7267658,12038565,1333031
conversation_trace,0.02,4.0,"l1=0.02,l2x4",1,sampled,lru_2hit_s,3714884076,14859536302,58742117,4770907,10012108,14783015,159744
conversation_trace,0.02,4.0,"l1=0.02,l2x4",1,sampled,lru_s,3714884076,14859536302,58742117,4770907,11513885,16284792,1092653
