trace,l1_fraction,l2_multiplier,cell,target,seed,arm,variant,l1_policy,l1_capacity_bytes,l2_policy,l2_capacity_bytes,hit_model,closure,measured_requests,requested_tokens,requested_blocks,avoided_prefill_tokens,l1_avoided_tokens,l2_avoided_tokens,l1_hit_blocks,l2_hit_blocks,l2_present_unusable_blocks,l2_present_unusable_tokens,l1_evictions,l2_admissions,l2_rejections,l2_evictions,l2_ancestor_copy_bytes,l2_byte_seconds,l2_already_held,offline_tiebreak,l2_eviction,l2_sample_width,l2_seed,l2_arm,l2_decisions,l2_byte_seconds_depth_1,l2_avoided_tokens_depth_1,l2_admitted_bytes_depth_1,l2_byte_seconds_depth_2-3,l2_avoided_tokens_depth_2-3,l2_admitted_bytes_depth_2-3,l2_byte_seconds_depth_4-7,l2_avoided_tokens_depth_4-7,l2_admitted_bytes_depth_4-7,l2_byte_seconds_depth_8-15,l2_avoided_tokens_depth_8-15,l2_admitted_bytes_depth_8-15,l2_byte_seconds_depth_16-31,l2_avoided_tokens_depth_16-31,l2_admitted_bytes_depth_16-31,l2_byte_seconds_depth_32-63,l2_avoided_tokens_depth_32-63,l2_admitted_bytes_depth_32-63,l2_byte_seconds_depth_64+,l2_avoided_tokens_depth_64+,l2_admitted_bytes_depth_64+,protected_offer_count,protected_offer_window_count,protected_overflow_offer_count,protected_overflow_offer_window_count,first_round_override_count,first_round_override_window_count,oversized_ineligible_count,oversized_ineligible_window_count,seconds,best_heap_arm,best_heap_avoided_tokens,delta_vs_best_heap_tokens,best_sampled_arm,best_sampled_avoided_tokens,delta_vs_best_sampled_tokens,offline_avoided_tokens
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,B,all,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3100190,2662942,437248,5203,854,865,442880,275832,275832,0,269658,0,655094902759.4238,0,prefix_first,sampled,16,0,B_all,269658,0.0,0,0,122698224320.51195,159232,9878917120,129829485887.48804,130048,15911129088,136015215917.05591,94720,23737483264,148898112151.552,53248,28310652928,95991738062.84799,0,21371944960,21662126419.967995,0,15639199744,275832,111974,263775,107748,100152,41970,0,0,95.8939962387085,lfu,3672801,-572611,lfu_s,3268638,-168448,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,B,all,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3082270,2662942,419328,5203,819,854,437248,275832,275832,0,269708,0,655091368171.5201,0,prefix_first,sampled,16,1,B_all,269708,0.0,0,0,121038940573.696,152064,9878917120,130201911566.33606,125952,15911129088,137132041355.26404,95744,23737483264,149247222691.84,45568,28310652928,95600918810.62401,0,21371944960,21870333173.759995,0,15639199744,275832,111974,263789,107781,100707,42245,0,0,53.450953006744385,lfu,3672801,-590531,lfu_s,3293409,-211139,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,B,all,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3110942,2662942,448000,5203,875,805,412160,275832,275832,0,269703,0,655107177502.7201,0,prefix_first,sampled,16,2,B_all,269703,0.0,0,0,122244208584.70403,157184,9878917120,129053651306.49599,130560,15911129088,137351150395.39201,98304,23737483264,148968380557.31204,56832,28310652928,95565533108.22406,5120,21371944960,21924253550.592003,0,15639199744,275832,111974,263775,107744,100099,41927,0,0,51.08066129684448,lfu,3672801,-561859,lfu_s,3282462,-171520,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,B,all,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3111454,2662942,448512,5203,876,829,424448,275832,275832,0,269664,0,655094798235.648,0,prefix_first,sampled,16,3,B_all,269664,0.0,0,0,122348602048.51198,158720,9878917120,127579003308.03203,135168,15911129088,136077383899.13596,94720,23737483264,152174708848.63998,54784,28310652928,95425469743.10402,5120,21371944960,21489630388.223995,0,15639199744,275832,111974,263757,107741,100571,42309,0,0,94.5849723815918,lfu,3672801,-561347,lfu_s,3345121,-233667,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,B,all,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3100190,2662942,437248,5203,854,845,432640,275832,275832,0,269705,0,655076765722.624,0,prefix_first,sampled,16,4,B_all,269705,0.0,0,0,122039571507.20001,156160,9878917120,130649772505.08795,136704,15911129088,136209353926.6561,89600,23737483264,148645859248.128,49664,28310652928,95775227213.82399,5120,21371944960,21756981321.728004,0,15639199744,275832,111974,263800,107745,100588,42191,0,0,58.76574182510376,lfu,3672801,-572611,lfu_s,3317278,-217088,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,B,direct_child,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3126302,2662942,463360,5203,905,869,444928,275832,179339,96493,173056,0,655040653166.5922,0,prefix_first,sampled,16,0,B_direct_child,269549,0.0,0,0,124415366653.95204,165888,8210839552,131230277275.64796,144896,12838014976,139605768042.49612,101888,16898854912,149312753156.09595,50688,16881848320,92232197974.01604,0,11413161984,18244290064.38401,0,7796228096,162617,64411,157228,63039,56674,23606,0,0,92.88770389556885,lfu,3672801,-546499,lfu_s,3268638,-142336,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,B,direct_child,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3134494,2662942,471552,5203,921,827,423424,275832,178677,97155,172409,0,655046271170.5602,0,prefix_first,sampled,16,1,B_direct_child,269564,0.0,0,0,125831884748.8,163840,8153716736,130655030945.79204,143360,12974800896,139272207732.73605,104448,17020207104,148289676333.05603,54272,17215193088,93190764427.26405,5632,11150983168,17806706982.911995,0,8144592896,161839,64941,156453,63598,56398,23827,0,0,52.482038259506226,lfu,3672801,-538307,lfu_s,3293409,-158915,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,B,direct_child,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3126302,2662942,463360,5203,905,889,455168,275832,181439,94393,175130,0,655042504910.848,0,prefix_first,sampled,16,2,B_direct_child,269523,0.0,0,0,125367854585.85597,168448,8176142336,131677210286.07999,146432,12891430912,138549875443.712,104448,16941484032,148057868212.224,44032,17318938624,92441234333.69601,0,11095539712,18948462049.279995,0,7991083008,164511,64672,159078,63278,57387,23832,0,0,51.36613869667053,lfu,3672801,-546499,lfu_s,3282462,-156160,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,B,direct_child,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3136542,2662942,473600,5203,925,827,423424,275832,180700,95132,174426,0,655033702785.024,0,prefix_first,sampled,16,3,B_direct_child,269558,0.0,0,0,124236470949.88797,161792,8183855104,131001603137.53606,143360,12913960960,139827207849.98407,100864,16906287104,148915899256.83194,52736,16912013312,92856986857.47198,14848,11074715648,18195534733.312004,0,7935850496,163709,64242,158319,62895,56911,23591,0,0,86.63019371032715,lfu,3672801,-536259,lfu_s,3345121,-208579,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,B,direct_child,lru,464360509,learned,464360509,tree,union,5183,58742117,117184,3125790,2662942,462848,5203,904,840,430080,275832,179879,95953,173618,0,655020760338.432,0,prefix_first,sampled,16,4,B_direct_child,269571,0.0,0,0,123171751389.18398,159744,8089638912,132129090981.888,142336,12787740672,137775410573.31198,108032,16832122880,149207441848.32004,52736,17108105216,94345417771.00798,0,11227764736,18391647774.720005,0,7961194496,163046,64324,157672,62972,56922,23696,0,0,85.52761626243591,lfu,3672801,-547011,lfu_s,3317278,-191488,7613350
