trace,cell,target,seed,iteration,policy,window,requested_tokens,avoided_tokens,pi0_avoided_tokens,delta_tokens_vs_pi0,delta_input_token_points_vs_pi0,terminal_common_population_ranking_delta,ranking_utility_sign_agreement
conversation_trace,"l1=0.0025,l2x1",binary,0,0,pi0,full,58742117,3258398,3258398,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,0,0,pi0,label,32962016,1939968,1939968,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,0,1,pi1,full,58742117,3008030,3258398,-250368,-0.4262154869222708,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,0,1,pi1,label,32962016,1734656,1939968,-205312,-0.6228745232087746,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,0,2,pi2,full,58742117,2692638,3258398,-565760,-0.9631249755605505,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,0,2,pi2,label,32962016,1546240,1939968,-393728,-1.194490045754483,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,0,3,pi3,full,58742117,2708510,3258398,-549888,-0.9361051798660917,-0.2041045772458292,same
conversation_trace,"l1=0.0025,l2x1",binary,0,3,pi3,label,32962016,1528320,1939968,-411648,-1.2488556525183412,-0.2041045772458292,same
conversation_trace,"l1=0.0025,l2x1",binary,1,0,pi0,full,58742117,3243550,3243550,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,1,0,pi0,label,32962016,1929216,1929216,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,1,1,pi1,full,58742117,2944030,3243550,-299520,-0.5098896929438209,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,1,1,pi1,label,32962016,1676288,1929216,-252928,-0.7673317068955976,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,1,2,pi2,full,58742117,2692126,3243550,-551424,-0.938719998804265,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,1,2,pi2,label,32962016,1546752,1929216,-382464,-1.1603173786457721,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,1,3,pi3,full,58742117,2728990,3243550,-514560,-0.8759643442881025,-0.16086255743213623,same
conversation_trace,"l1=0.0025,l2x1",binary,1,3,pi3,label,32962016,1533952,1929216,-395264,-1.1991499549056708,-0.16086255743213623,same
conversation_trace,"l1=0.0025,l2x1",binary,2,0,pi0,full,58742117,3273758,3273758,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,2,0,pi0,label,32962016,1949184,1949184,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,2,1,pi1,full,58742117,2945054,3273758,-328704,-0.5595712527691162,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,2,1,pi1,label,32962016,1675776,1949184,-273408,-0.8294638289114356,,not_applicable
