horizon_seconds,model,feature,standardized_coefficient,ridge,trace
1,base,frequency,0.0,0.001,conversation_trace
1,base,recency,0.0,0.001,conversation_trace
1,base,prefix_length,0.0,0.001,conversation_trace
1,extended,frequency,0.0,0.001,conversation_trace
1,extended,recency,0.0,0.001,conversation_trace
1,extended,prefix_length,0.0,0.001,conversation_trace
1,extended,fan_out,0.0,0.001,conversation_trace
1,extended,branch_diversity,0.0,0.001,conversation_trace
10,base,frequency,0.002268209308021662,0.001,conversation_trace
10,base,recency,0.0034199190388209664,0.001,conversation_trace
10,base,prefix_length,-0.0003291565371192412,0.001,conversation_trace
10,extended,frequency,0.006761223660980824,0.001,conversation_trace
10,extended,recency,0.0034112134143663253,0.001,conversation_trace
10,extended,prefix_length,-0.0004157122781593119,0.001,conversation_trace
10,extended,fan_out,0.0011423054256435546,0.001,conversation_trace
10,extended,branch_diversity,-0.004741505765273905,0.001,conversation_trace
60,base,frequency,0.019655814475653337,0.001,conversation_trace
60,base,recency,0.025928574819364843,0.001,conversation_trace
60,base,prefix_length,-0.0005193226885023673,0.001,conversation_trace
60,extended,frequency,0.017110534513938232,0.001,conversation_trace
60,extended,recency,0.025889063692564107,0.001,conversation_trace
60,extended,prefix_length,-0.0007679516897740004,0.001,conversation_trace
60,extended,fan_out,0.003027174370080406,0.001,conversation_trace
60,extended,branch_diversity,0.0019779500637571693,0.001,conversation_trace
600,base,frequency,0.06389656867737425,0.001,conversation_trace
600,base,recency,0.09184316933202638,0.001,conversation_trace
600,base,prefix_length,-0.0013781749600240496,0.001,conversation_trace
600,extended,frequency,0.00808609720119725,0.001,conversation_trace
600,extended,recency,0.09146911228115055,0.001,conversation_trace
600,extended,prefix_length,-0.0028432561145733874,0.001,conversation_trace
600,extended,fan_out,0.01814143930533043,0.001,conversation_trace
600,extended,branch_diversity,0.05288216605188075,0.001,conversation_trace
1,base,frequency,0.0,0.001,toolagent_trace
1,base,recency,0.0,0.001,toolagent_trace
1,base,prefix_length,0.0,0.001,toolagent_trace
1,extended,frequency,0.0,0.001,toolagent_trace
1,extended,recency,0.0,0.001,toolagent_trace
1,extended,prefix_length,0.0,0.001,toolagent_trace
1,extended,fan_out,0.0,0.001,toolagent_trace
1,extended,branch_diversity,0.0,0.001,toolagent_trace
10,base,frequency,0.0077905320387153506,0.001,toolagent_trace
10,base,recency,0.004032090309759418,0.001,toolagent_trace
10,base,prefix_length,-0.00035812163696222015,0.001,toolagent_trace
10,extended,frequency,0.0067611999817419775,0.001,toolagent_trace
10,extended,recency,0.004018243274993036,0.001,toolagent_trace
10,extended,prefix_length,-0.0004910252941330211,0.001,toolagent_trace
10,extended,fan_out,0.0009179792972476118,0.001,toolagent_trace
10,extended,branch_diversity,0.0008312246364782416,0.001,toolagent_trace
60,base,frequency,0.02396646961652283,0.001,toolagent_trace
60,base,recency,0.027295825214548153,0.001,toolagent_trace
60,base,prefix_length,-0.0002667327387167184,0.001,toolagent_trace
60,extended,frequency,0.022072232563519777,0.001,toolagent_trace
60,extended,recency,0.027239756540612708,0.001,toolagent_trace
60,extended,prefix_length,-0.0008336495780547687,0.001,toolagent_trace
60,extended,fan_out,0.00395066008623564,0.001,toolagent_trace
60,extended,branch_diversity,0.0010265155200956022,0.001,toolagent_trace
600,base,frequency,0.06795179365403946,0.001,toolagent_trace
600,base,recency,0.09488402180546232,0.001,toolagent_trace
600,base,prefix_length,0.004927094313910775,0.001,toolagent_trace
600,extended,frequency,0.028177370943764216,0.001,toolagent_trace
600,extended,recency,0.09441643532355738,0.001,toolagent_trace
600,extended,prefix_length,0.001720024980713925,0.001,toolagent_trace
600,extended,fan_out,0.022565679733454483,0.001,toolagent_trace
600,extended,branch_diversity,0.03518032359574361,0.001,toolagent_trace
1,base,frequency,-0.00014011374401248352,0.001,synthetic_trace
1,base,recency,0.0004925286180786646,0.001,synthetic_trace
1,base,prefix_length,1.8481675905801724e-05,0.001,synthetic_trace
1,extended,frequency,0.004187826487957755,0.001,synthetic_trace
1,extended,recency,0.0004812713665850847,0.001,synthetic_trace
1,extended,prefix_length,-6.21988608661147e-05,0.001,synthetic_trace
1,extended,fan_out,0.00035700735423830325,0.001,synthetic_trace
1,extended,branch_diversity,-0.004421425329775157,0.001,synthetic_trace
10,base,frequency,0.007005838896305376,0.001,synthetic_trace
10,base,recency,0.0019868524152339274,0.001,synthetic_trace
10,base,prefix_length,0.0013752323954584551,0.001,synthetic_trace
10,extended,frequency,0.05275291488899364,0.001,synthetic_trace
10,extended,recency,0.0018734373447937757,0.001,synthetic_trace
10,extended,prefix_length,0.0008870772519183144,0.001,synthetic_trace
10,extended,fan_out,0.002680742155695765,0.001,synthetic_trace
10,extended,branch_diversity,-0.04661689823745491,0.001,synthetic_trace
60,base,frequency,0.04421330258856758,0.001,synthetic_trace
60,base,recency,0.0014043473648230227,0.001,synthetic_trace
60,base,prefix_length,0.014693892848244804,0.001,synthetic_trace
60,extended,frequency,0.1694716331548886,0.001,synthetic_trace
60,extended,recency,0.0011251006729476518,0.001,synthetic_trace
60,extended,prefix_length,0.011312827257358927,0.001,synthetic_trace
60,extended,fan_out,0.013141092051826696,0.001,synthetic_trace
60,extended,branch_diversity,-0.1284337301233001,0.001,synthetic_trace
