horizon_seconds,model,features,auc,average_precision,precision_at_100,delta_auc_vs_base,delta_ap_vs_base,delta_precision_at_100_vs_base,train_snapshots,test_snapshots,train_samples,train_positive_rate,test_samples,test_positive_rate,ridge,status,trace
1,base,frequency+recency+prefix_length,nan,nan,0.0,0.0,0.0,0.0,15,9,890173,0.0,1366883,0.0,0.001,no_positive_test_windows,conversation_trace
1,extended,frequency+recency+prefix_length+fan_out+branch_diversity,nan,nan,0.0,nan,nan,0.0,15,9,890173,0.0,1366883,0.0,0.001,no_positive_test_windows,conversation_trace
10,base,frequency+recency+prefix_length,0.8937382858723856,0.020763783789385933,0.04555555555555556,0.0,0.0,0.0,15,9,887697,0.0033885436134176413,1362827,0.0016693241328503178,0.001,ok,conversation_trace
10,extended,frequency+recency+prefix_length+fan_out+branch_diversity,0.8965567554664682,0.021702621221434445,0.05000000000000001,0.0028184695940826066,0.0009388374320485129,0.004444444444444452,15,9,887697,0.0033885436134176413,1362827,0.0016693241328503178,0.001,ok,conversation_trace
60,base,frequency+recency+prefix_length,0.8866340616472287,0.1248193229672842,0.1622222222222222,0.0,0.0,0.0,15,9,873879,0.023693211531573593,1343849,0.010768322929138615,0.001,ok,conversation_trace
60,extended,frequency+recency+prefix_length+fan_out+branch_diversity,0.8888262374173775,0.1253402069454006,0.17777777777777778,0.002192175770148852,0.0005208839781164071,0.015555555555555572,15,9,873879,0.023693211531573593,1343849,0.010768322929138615,0.001,ok,conversation_trace
600,base,frequency+recency+prefix_length,0.84209256791044,0.3452722793400337,0.7244444444444444,0.0,0.0,0.0,11,9,404765,0.13026570973280793,1144473,0.049079357922816876,0.001,ok,conversation_trace
600,extended,frequency+recency+prefix_length+fan_out+branch_diversity,0.846900785745396,0.34619924273069114,0.7466666666666666,0.004808217834955997,0.0009269633906574537,0.022222222222222143,11,9,404765,0.13026570973280793,1144473,0.049079357922816876,0.001,ok,conversation_trace
3600,base,frequency+recency+prefix_length,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_snapshots,conversation_trace
3600,extended,frequency+recency+prefix_length+fan_out+branch_diversity,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_snapshots,conversation_trace
21600,base,frequency+recency+prefix_length,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_snapshots,conversation_trace
21600,extended,frequency+recency+prefix_length+fan_out+branch_diversity,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_snapshots,conversation_trace
86400,base,frequency+recency+prefix_length,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_snapshots,conversation_trace
86400,extended,frequency+recency+prefix_length+fan_out+branch_diversity,nan,nan,nan,nan,nan,nan,0,0,0,nan,0,nan,nan,insufficient_snapshots,conversation_trace
1,base,frequency+recency+prefix_length,nan,nan,0.0,0.0,0.0,0.0,15,9,881498,0.0,1370005,0.0,0.001,no_positive_test_windows,toolagent_trace
1,extended,frequency+recency+prefix_length+fan_out+branch_diversity,nan,nan,0.0,nan,nan,0.0,15,9,881498,0.0,1370005,0.0,0.001,no_positive_test_windows,toolagent_trace
10,base,frequency+recency+prefix_length,0.8813512943260958,0.12323220164038687,0.21333333333333335,0.0,0.0,0.0,15,9,878924,0.003641953115400194,1365751,0.0015507951302982754,0.001,ok,toolagent_trace
