horizon_seconds,control,structural_signal,auc,average_precision,precision_at_100,valid_stratum_snapshots,trace
10,frequency,fan_out,0.5861359111459542,0.026485369113644894,0.021200971300493813,18,conversation_trace
10,frequency,branch_diversity,0.6033528807180792,0.04341608744331314,0.023790153978592497,18,conversation_trace
10,recency,fan_out,0.5746387484727928,0.011547395073330576,0.03290588078972624,16,conversation_trace
10,recency,branch_diversity,0.6837326637708121,0.01924140976556208,0.026816255778120184,16,conversation_trace
60,frequency,fan_out,0.5402300744236374,0.030403517943572142,0.06382654527387938,18,conversation_trace
60,frequency,branch_diversity,0.6428011033566566,0.08833151807374269,0.09970828657159787,18,conversation_trace
60,recency,fan_out,0.5510398848083015,0.017920094639282635,0.053714473762787894,35,conversation_trace
60,recency,branch_diversity,0.5796825843683143,0.053169923060141275,0.0785123896179033,35,conversation_trace
600,frequency,fan_out,0.532164519911507,0.10915942645535373,0.17552459297142547,18,conversation_trace
600,frequency,branch_diversity,0.6392169739050725,0.2398139325355894,0.3224880640729443,18,conversation_trace
600,recency,fan_out,0.537214449525041,0.056288967470919826,0.11996865485167887,45,conversation_trace
600,recency,branch_diversity,0.5447302746241985,0.11800175120286932,0.2377227529969418,45,conversation_trace
10,frequency,fan_out,0.5726524342992486,0.03754013220789272,0.031242110536733918,18,toolagent_trace
10,frequency,branch_diversity,0.6671145198528025,0.19165908583510916,0.10810868920838307,18,toolagent_trace
10,recency,fan_out,0.5956178526969128,0.0242629006692745,0.05427470821340435,13,toolagent_trace
10,recency,branch_diversity,0.7313362050684886,0.09915399914060258,0.14897546521275332,13,toolagent_trace
60,frequency,fan_out,0.5554121415794047,0.03368883077968862,0.07181561272106282,18,toolagent_trace
60,frequency,branch_diversity,0.657514670729925,0.10738630282401183,0.160068231487104,18,toolagent_trace
60,recency,fan_out,0.6039716076613418,0.02688983802116332,0.08456903926283214,24,toolagent_trace
60,recency,branch_diversity,0.6655642837381589,0.08918579651820946,0.17639014037678583,24,toolagent_trace
600,frequency,fan_out,0.5487901762751651,0.10651945935175375,0.17643052747465862,18,toolagent_trace
600,frequency,branch_diversity,0.6552131248715409,0.24564130404924858,0.3491822128122996,18,toolagent_trace
600,recency,fan_out,0.5974602436295909,0.05384696293250793,0.13190546983161142,41,toolagent_trace
600,recency,branch_diversity,0.6521444139917778,0.15862573189088483,0.2764792277821377,41,toolagent_trace
1,frequency,fan_out,0.5283976221147458,0.0104063812615186,0.012062886335654976,19,synthetic_trace
1,frequency,branch_diversity,0.5544885699031518,0.029497797194732923,0.012287128994746816,19,synthetic_trace
1,recency,fan_out,0.5105552571071864,0.011051580335722812,0.013556059793068835,18,synthetic_trace
1,recency,branch_diversity,0.4920240294116647,0.031338925240894905,0.007343934040047115,18,synthetic_trace
10,frequency,fan_out,0.5019624268302101,0.04722287016500225,0.06474456419858794,23,synthetic_trace
10,frequency,branch_diversity,0.6132069805318977,0.07603355370042128,0.04028234696101123,23,synthetic_trace
10,recency,fan_out,0.5145548158101091,0.04577897738719692,0.05876503508371618,28,synthetic_trace
10,recency,branch_diversity,0.5872877655971467,0.07436311868003105,0.019578182644220288,28,synthetic_trace
60,frequency,fan_out,0.5177221526931346,0.2099079051478568,0.2718465619260918,22,synthetic_trace
60,frequency,branch_diversity,0.5994943962942936,0.25397925204805943,0.20164645988580351,22,synthetic_trace
60,recency,fan_out,0.51507671136086,0.14667398943014065,0.1819727979702028,41,synthetic_trace
60,recency,branch_diversity,0.6129677196119505,0.20337635114713562,0.12045639167447376,41,synthetic_trace
