trace,l1_policy,l1_fraction,l2_multiplier,total_fraction,requested_tokens,l1_only_avoided_tokens,rescue_ceiling_fraction_of_input,offline_tree_extra_tokens,offline_tree_extra_fraction_of_input,offline_tree_over_rescue_ceiling,offline_independent_extra_tokens,best_generic_policy,best_generic_extra_tokens,best_generic_extra_fraction_of_input,room_over_generic_fraction,dependency_cost_fraction_lru,dependency_cost_fraction_lfu,dependency_cost_fraction_lru_2hit,dependency_cost_fraction_offline_next_use,dependency_cost_fraction_max,standalone_offline_cost_fraction,single_tier_offline_avoided_tokens,single_tier_lru_avoided_tokens,pass_absolute,pass_dependency,pass_room,pass_all
conversation_trace,lfu,0.0025,1.0,0.005,58742117,3630080,0.3417208984824296,4503506,0.07666570818344869,0.22435182783352842,5163474,lfu,1078784,0.018364745009104795,0.7604568529496797,0.0,0.0,0.0,0.12781472318830306,0.12781472318830306,-0.08051793424944921,11097798,2746225,True,True,True,True
conversation_trace,lfu,0.0025,2.0,0.0075,58742117,3630080,0.3417208984824296,7519211,0.12800374559194044,0.37458565209327427,8306229,lfu,1799680,0.030636961892265478,0.7606557390130427,0.0,0.0,0.0,0.09475033736729387,0.09475033736729387,-0.05474616951166818,13341023,2935532,True,False,True,False
conversation_trace,lfu,0.0025,4.0,0.0125,58742117,3630080,0.3417208984824296,11944608,0.20333976046522123,0.5950463122631537,12144288,lfu,2630260,0.04477639101770881,0.779795201315941,0.0,0.0,0.0,0.016442297811119104,0.016442297811119104,0.014616804502918806,16458400,3435491,True,False,True,False
conversation_trace,lfu,0.0025,8.0,0.0225,58742117,3630080,0.3417208984824296,16020465,0.2727253598980779,0.7980938862950483,16271857,lru_2hit,5949028,0.10127363983153688,0.6286607161527459,0.0,0.0,0.0,0.015449496637046405,0.015449496637046405,0.0023220299785305857,20131977,5348730,True,False,True,False
conversation_trace,lfu,0.0025,16.0,0.0425,58742117,3630080,0.3417208984824296,19731393,0.33589856831343,0.9829617380884333,19733441,lru_2hit,8931157,0.1520400941627623,0.5473630777107323,0.0,0.0,0.0,0.00010378321753413406,0.00010378321753413406,0.009912326007596119,23392705,10835586,True,False,True,False
conversation_trace,lfu,0.01,1.0,0.02,58742117,5959928,0.30205858941038843,11036188,0.18787521736746396,0.6219827012176418,11270172,lru_2hit,2540942,0.043255880614585275,0.7697627115449647,0.0,0.0,0.0,0.020761351290823245,0.020761351290823245,0.07291376333929796,19469473,4770907,True,False,True,False
conversation_trace,lfu,0.01,2.0,0.03,58742117,5959928,0.30205858941038843,14455281,0.24608035491809055,0.8146775610600375,14734321,lru_2hit,5072996,0.08636045582082102,0.6490558709996713,0.0,0.0,0.0,0.01893809697779762,0.01893809697779762,0.0457515837983364,21826628,7645104,True,False,True,False
conversation_trace,lfu,0.01,4.0,0.05,58742117,5959928,0.30205858941038843,17613513,0.2998447093760683,0.992670693329259,17628873,lru,7099522,0.12085914438527981,0.5969275408034729,0.0,0.0,0.0,0.0008712978986234684,0.0008712978986234684,0.023138598188788346,23703489,12306050,True,False,True,False
conversation_trace,lfu,0.01,8.0,0.09,58742117,5959928,0.30205858941038843,17743561,0.30205858941038843,1.0,17743561,lru,11214894,0.19091742982296672,0.36794570154209744,0.0,0.0,0.0,0.0,0.0,0.0,23703489,16532445,True,False,True,False
conversation_trace,lfu,0.02,1.0,0.04,58742117,6979188,0.28470715483406905,13949076,0.2374629433256551,0.834060329337531,14237844,lru_2hit,4659292,0.07931774062552087,0.6659784490384882,0.0,0.0,0.0,0.020281722429322867,0.020281722429322867,0.07601643291641683,23165889,10318989,True,False,True,False
conversation_trace,lfu,0.02,2.0,0.06,58742117,6979188,0.28470715483406905,16724301,0.28470715483406905,1.0,16724301,lru,6883970,0.11718968180870976,0.5883851887143146,0.0,0.0,0.0,0.0,0.0,0.03214484121040395,23703489,13881366,True,False,True,False
conversation_trace,lfu,0.02,4.0,0.1,58742117,6979188,0.28470715483406905,16724301,0.28470715483406905,1.0,16724301,lru,10534877,0.1793411190815612,0.3700856615771266,0.0,0.0,0.0,0.0,0.0,0.0,23703489,17433812,True,False,True,False
conversation_trace,lru,0.0025,1.0,0.005,58742117,2662942,0.3581850310229711,4950408,0.08427357155003454,0.23527943451280045,5619806,lfu,1009859,0.01719139608128185,0.7960048949500728,0.0,0.0,0.0,0.1191140761798539,0.1191140761798539,-0.11244749927682729,11097798,2746225,True,True,True,True
conversation_trace,lru,0.0025,2.0,0.0075,58742117,2662942,0.3581850310229711,8064289,0.1372829140631755,0.38327373333022186,8839457,lfu,2078915,0.035390535890968994,0.7422072795258206,0.0,0.0,0.0,0.08769407442108718,0.08769407442108718,-0.0754622013174379,13341023,2935532,True,False,True,False
conversation_trace,lru,0.0025,4.0,0.0125,58742117,2662942,0.3581850310229711,12447250,0.2118965171105427,0.5915839545426267,12734994,lfu,3339195,0.05684498909019571,0.7317323103496757,0.0,0.0,0.0,0.022594749553867085,0.022594749553867085,-0.009789792926148346,16458400,3435491,True,False,True,False
conversation_trace,lru,0.0025,8.0,0.0225,58742117,2662942,0.3581850310229711,16791659,0.2858538278421256,0.7980619039989787,17000043,lru_2hit,6480649,0.11032372224514823,0.614055466467012,0.0,0.0,0.0,0.012257851347787767,0.012257851347787767,-0.004695664674943673,20131977,5348730,True,False,True,False
