trace,l1_policy,l1_fraction,l2_multiplier,tiebreak,tree_avoided_tokens,independent_avoided_tokens,l1_only_avoided_tokens,dependency_cost_tokens,dependency_cost_fraction,tree_extra_fraction_of_input
conversation_trace,lru,0.0025,1.0,prefix_first,7613350,8282748,2662942,669398,0.1191140761798539,0.08427357155003454
conversation_trace,lru,0.0025,1.0,deeper_first,8282357,8282357,2662942,0,0.0,0.09566245288708271
conversation_trace,lru,0.0025,2.0,prefix_first,10727231,11502399,2662942,775168,0.08769407442108718,0.1372829140631755
conversation_trace,lru,0.0025,2.0,deeper_first,11502399,11502399,2662942,0,0.0,0.1504790336378241
conversation_trace,lru,0.01,1.0,prefix_first,16179727,16409591,3218284,229864,0.017425415085859194,0.2206499129066118
conversation_trace,lru,0.01,1.0,deeper_first,16409615,16409615,3218284,0,0.0,0.2245634252507447
conversation_trace,lfu,0.0025,1.0,prefix_first,8133586,8793554,3630080,659968,0.12781472318830306,0.07666570818344869
conversation_trace,lfu,0.0025,1.0,deeper_first,8793675,8793675,3630080,0,0.0,0.08790277340532347
conversation_trace,lfu,0.0025,2.0,prefix_first,11149291,11936309,3630080,787018,0.09475033736729387,0.12800374559194044
conversation_trace,lfu,0.0025,2.0,deeper_first,11936356,11936356,3630080,0,0.0,0.14140239446937194
conversation_trace,lfu,0.01,1.0,prefix_first,16996116,17230100,5959928,233984,0.020761351290823245,0.18787521736746396
conversation_trace,lfu,0.01,1.0,deeper_first,17230100,17230100,5959928,0,0.0,0.19185845821661485
toolagent_trace,lru,0.0025,1.0,prefix_first,34821090,35414712,29393272,593622,0.0985847239198597,0.06537462736236692
toolagent_trace,lru,0.0025,1.0,deeper_first,35414464,35414464,29393272,0,0.0,0.07252144107950281
toolagent_trace,lru,0.0025,2.0,prefix_first,37788334,38631712,29393272,843378,0.09129008793692442,0.10111320054098474
toolagent_trace,lru,0.0025,2.0,deeper_first,38632442,38632442,29393272,0,0.0,0.11127994635921093
toolagent_trace,lru,0.01,1.0,prefix_first,43404946,43592826,30578881,187880,0.014436821425017548,0.15448182306416625
toolagent_trace,lru,0.01,1.0,deeper_first,43592934,43592934,30578881,0,0.0,0.15674601936709986
toolagent_trace,lfu,0.0025,1.0,prefix_first,35322417,35908145,30853632,585728,0.11588218291257733,0.053823682764885424
toolagent_trace,lfu,0.0025,1.0,deeper_first,35907754,35907754,30853632,0,0.0,0.06087369591131107
toolagent_trace,lfu,0.0025,2.0,prefix_first,38374277,39037270,30853632,662993,0.08101445836191679,0.09058140202925889
toolagent_trace,lfu,0.0025,2.0,deeper_first,39037438,39037438,30853632,0,0.0,0.09856875592658092
toolagent_trace,lfu,0.01,1.0,prefix_first,44209057,44338593,33195655,129536,0.011624941285682465,0.13264944619402244
toolagent_trace,lfu,0.01,1.0,deeper_first,44338593,44338593,33195655,0,0.0,0.1342096252070276
synthetic_trace,lru,0.0025,1.0,prefix_first,2627946,3826282,392704,1198336,0.3490050320685885,0.06966110285864448
synthetic_trace,lru,0.0025,1.0,deeper_first,3826026,3826026,392704,0,0.0,0.10699915131732804
synthetic_trace,lru,0.0025,2.0,prefix_first,4788296,5916260,392704,1127964,0.20420975183378243,0.13698820370977047
synthetic_trace,lru,0.0025,2.0,deeper_first,5916232,5916232,392704,0,0.0,0.17214022112621488
synthetic_trace,lru,0.01,1.0,prefix_first,8777043,9539946,1979479,762903,0.10090686197029893,0.21184543105051656
synthetic_trace,lru,0.01,1.0,deeper_first,9539411,9539411,1979479,0,0.0,0.2356045567577729
synthetic_trace,lfu,0.0025,1.0,prefix_first,2973485,4105379,754176,1131894,0.3377575157339021,0.06916455243956376
synthetic_trace,lfu,0.0025,1.0,deeper_first,4105517,4105517,754176,0,0.0,0.10444422130373017
synthetic_trace,lfu,0.0025,2.0,prefix_first,5035261,6130227,754176,1094966,0.20367477912690932,0.13341960402122005
synthetic_trace,lfu,0.0025,2.0,deeper_first,6130429,6130429,754176,0,0.0,0.1675504098558885
synthetic_trace,lfu,0.01,1.0,prefix_first,9399570,9978017,2482701,578447,0.07717446469234919,0.21556355994955773
synthetic_trace,lfu,0.01,1.0,deeper_first,9977618,9977618,2482701,0,0.0,0.23357837050932428
