trace,policy,total_fraction,l1_fraction,l2_multiplier,avoided_prefill_tokens
conversation_trace,lru,0.005,0.0025,1.0,2746225
conversation_trace,lfu,0.005,0.0025,1.0,4710400
conversation_trace,offline_next_use,0.005,0.0025,1.0,11097798
conversation_trace,lru,0.0075,0.0025,2.0,2935532
conversation_trace,lfu,0.0075,0.0025,2.0,5431808
conversation_trace,offline_next_use,0.0075,0.0025,2.0,13341023
conversation_trace,lru,0.0125,0.0025,4.0,3435491
conversation_trace,lfu,0.0125,0.0025,4.0,6260340
conversation_trace,offline_next_use,0.0125,0.0025,4.0,16458400
conversation_trace,lru,0.02,0.01,1.0,4770907
conversation_trace,lfu,0.02,0.01,1.0,6979188
conversation_trace,offline_next_use,0.02,0.01,1.0,19469473
conversation_trace,lru,0.0225,0.0025,8.0,5348730
conversation_trace,lfu,0.0225,0.0025,8.0,7352948
conversation_trace,offline_next_use,0.0225,0.0025,8.0,20131977
conversation_trace,lru,0.03,0.01,2.0,7645104
conversation_trace,lfu,0.03,0.01,2.0,8119412
conversation_trace,offline_next_use,0.03,0.01,2.0,21826628
conversation_trace,lru,0.04,0.02,1.0,10318989
conversation_trace,lfu,0.04,0.02,1.0,8843380
conversation_trace,offline_next_use,0.04,0.02,1.0,23165889
conversation_trace,lru,0.0425,0.0025,16.0,10835586
conversation_trace,lfu,0.0425,0.0025,16.0,9099892
conversation_trace,offline_next_use,0.0425,0.0025,16.0,23392705
conversation_trace,lru,0.05,0.01,4.0,12306050
conversation_trace,lfu,0.05,0.01,4.0,9579319
conversation_trace,offline_next_use,0.05,0.01,4.0,23703489
conversation_trace,lru,0.06,0.02,2.0,13881366
conversation_trace,lfu,0.06,0.02,2.0,10239775
conversation_trace,offline_next_use,0.06,0.02,2.0,23703489
conversation_trace,lru,0.09,0.01,8.0,16532445
conversation_trace,lfu,0.09,0.01,8.0,11807268
conversation_trace,offline_next_use,0.09,0.01,8.0,23703489
conversation_trace,lru,0.1,0.02,4.0,17433812
conversation_trace,lfu,0.1,0.02,4.0,12742926
conversation_trace,offline_next_use,0.1,0.02,4.0,23703489
synthetic_trace,lru,0.005,0.0025,1.0,971576
synthetic_trace,lfu,0.005,0.0025,1.0,1392640
synthetic_trace,offline_next_use,0.005,0.0025,1.0,5520365
synthetic_trace,lru,0.0075,0.0025,2.0,1513219
synthetic_trace,lfu,0.0075,0.0025,2.0,1930240
synthetic_trace,offline_next_use,0.0075,0.0025,2.0,7051764
synthetic_trace,lru,0.0125,0.0025,4.0,2632749
synthetic_trace,lfu,0.0125,0.0025,4.0,3049485
synthetic_trace,offline_next_use,0.0125,0.0025,4.0,9312140
synthetic_trace,lru,0.02,0.01,1.0,4297568
synthetic_trace,lfu,0.02,0.01,1.0,3986445
synthetic_trace,offline_next_use,0.02,0.01,1.0,11591865
synthetic_trace,lru,0.0225,0.0025,8.0,4563642
synthetic_trace,lfu,0.0225,0.0025,8.0,4253709
synthetic_trace,offline_next_use,0.0225,0.0025,8.0,12195513
synthetic_trace,lru,0.03,0.01,2.0,5622588
synthetic_trace,lfu,0.03,0.01,2.0,5060109
synthetic_trace,offline_next_use,0.03,0.01,2.0,13732201
synthetic_trace,lru,0.04,0.02,1.0,7146812
synthetic_trace,lfu,0.04,0.02,1.0,6064141
synthetic_trace,offline_next_use,0.04,0.02,1.0,15527902
synthetic_trace,lru,0.0425,0.0025,16.0,7299000
synthetic_trace,lfu,0.0425,0.0025,16.0,6271501
synthetic_trace,offline_next_use,0.0425,0.0025,16.0,15901864
synthetic_trace,lru,0.05,0.01,4.0,8260958
synthetic_trace,lfu,0.05,0.01,4.0,6672909
synthetic_trace,offline_next_use,0.05,0.01,4.0,17082098
synthetic_trace,lru,0.06,0.02,2.0,9294973
synthetic_trace,lfu,0.06,0.02,2.0,7689229
synthetic_trace,offline_next_use,0.06,0.02,2.0,18416197
synthetic_trace,lru,0.09,0.01,8.0,11947719
synthetic_trace,lfu,0.09,0.01,8.0,10203149
synthetic_trace,offline_next_use,0.09,0.01,8.0,21349985
synthetic_trace,lru,0.1,0.02,4.0,13373701
synthetic_trace,lfu,0.1,0.02,4.0,11134477
synthetic_trace,offline_next_use,0.1,0.02,4.0,22051338
toolagent_trace,lru,0.005,0.0025,1.0,30066590
toolagent_trace,lfu,0.005,0.0025,1.0,31892511
toolagent_trace,offline_next_use,0.005,0.0025,1.0,38144389
toolagent_trace,lru,0.0075,0.0025,2.0,30269778
toolagent_trace,lfu,0.0075,0.0025,2.0,32595487
toolagent_trace,offline_next_use,0.0075,0.0025,2.0,40344492
toolagent_trace,lru,0.0125,0.0025,4.0,30765527
toolagent_trace,lfu,0.0125,0.0025,4.0,33523451
toolagent_trace,offline_next_use,0.0125,0.0025,4.0,43519735
toolagent_trace,lru,0.02,0.01,1.0,32176527
toolagent_trace,lfu,0.02,0.01,1.0,34243078
toolagent_trace,offline_next_use,0.02,0.01,1.0,46467157
toolagent_trace,lru,0.0225,0.0025,8.0,32752962
toolagent_trace,lfu,0.0225,0.0025,8.0,34514438
toolagent_trace,offline_next_use,0.0225,0.0025,8.0,47103549
toolagent_trace,lru,0.03,0.01,2.0,35304211
toolagent_trace,lfu,0.03,0.01,2.0,35213045
toolagent_trace,offline_next_use,0.03,0.01,2.0,48679144
toolagent_trace,lru,0.04,0.02,1.0,37901669
toolagent_trace,lfu,0.04,0.02,1.0,35987813
toolagent_trace,offline_next_use,0.04,0.02,1.0,49154186
toolagent_trace,lru,0.0425,0.0025,16.0,38509606
toolagent_trace,lfu,0.0425,0.0025,16.0,36292965
toolagent_trace,offline_next_use,0.0425,0.0025,16.0,49154186
toolagent_trace,lru,0.05,0.01,4.0,39845574
toolagent_trace,lfu,0.05,0.01,4.0,36774059
toolagent_trace,offline_next_use,0.05,0.01,4.0,49154186
toolagent_trace,lru,0.06,0.02,2.0,41346148
toolagent_trace,lfu,0.06,0.02,2.0,37384339
toolagent_trace,offline_next_use,0.06,0.02,2.0,49154186
toolagent_trace,lru,0.09,0.01,8.0,44290436
toolagent_trace,lfu,0.09,0.01,8.0,39228551
toolagent_trace,offline_next_use,0.09,0.01,8.0,49154186
toolagent_trace,lru,0.1,0.02,4.0,44876128
toolagent_trace,lfu,0.1,0.02,4.0,40148127
toolagent_trace,offline_next_use,0.1,0.02,4.0,49154186
